RUN	computerdatabase.ProveOwner	proveowner	1606766715503	 	3.3.1
USER	Prove Ownership	1	START	1606766717302	1606766717302
USER	Prove Ownership	2	START	1606766717450	1606766717450
REQUEST	1		Prove Owner	1606766717340	1606766717434	OK	 
USER	Prove Ownership	1	END	1606766717302	1606766717474
REQUEST	2		Prove Owner	1606766717451	1606766717579	OK	 
USER	Prove Ownership	2	END	1606766717450	1606766717580
USER	Prove Ownership	3	START	1606766717589	1606766717589
REQUEST	3		Prove Owner	1606766717591	1606766717676	OK	 
USER	Prove Ownership	3	END	1606766717589	1606766717676
USER	Prove Ownership	4	START	1606766717729	1606766717729
REQUEST	4		Prove Owner	1606766717731	1606766717812	OK	 
USER	Prove Ownership	4	END	1606766717729	1606766717813
USER	Prove Ownership	5	START	1606766717882	1606766717882
REQUEST	5		Prove Owner	1606766717884	1606766717963	OK	 
USER	Prove Ownership	5	END	1606766717882	1606766717963
USER	Prove Ownership	6	START	1606766718020	1606766718020
REQUEST	6		Prove Owner	1606766718022	1606766718103	OK	 
USER	Prove Ownership	6	END	1606766718020	1606766718105
USER	Prove Ownership	7	START	1606766718161	1606766718161
REQUEST	7		Prove Owner	1606766718162	1606766718226	OK	 
USER	Prove Ownership	7	END	1606766718161	1606766718227
USER	Prove Ownership	8	START	1606766718311	1606766718311
REQUEST	8		Prove Owner	1606766718312	1606766718401	OK	 
USER	Prove Ownership	8	END	1606766718311	1606766718404
USER	Prove Ownership	9	START	1606766718450	1606766718450
USER	Prove Ownership	10	START	1606766718590	1606766718590
REQUEST	9		Prove Owner	1606766718451	1606766718619	OK	 
USER	Prove Ownership	9	END	1606766718450	1606766718620
REQUEST	10		Prove Owner	1606766718592	1606766718702	OK	 
USER	Prove Ownership	10	END	1606766718590	1606766718703
USER	Prove Ownership	11	START	1606766718731	1606766718731
REQUEST	11		Prove Owner	1606766718732	1606766718785	OK	 
USER	Prove Ownership	11	END	1606766718731	1606766718786
USER	Prove Ownership	12	START	1606766718880	1606766718880
REQUEST	12		Prove Owner	1606766718884	1606766718962	OK	 
USER	Prove Ownership	12	END	1606766718880	1606766718963
USER	Prove Ownership	13	START	1606766719019	1606766719019
REQUEST	13		Prove Owner	1606766719021	1606766719096	OK	 
USER	Prove Ownership	13	END	1606766719019	1606766719097
USER	Prove Ownership	14	START	1606766719159	1606766719159
REQUEST	14		Prove Owner	1606766719161	1606766719233	OK	 
USER	Prove Ownership	14	END	1606766719159	1606766719234
USER	Prove Ownership	15	START	1606766719309	1606766719309
REQUEST	15		Prove Owner	1606766719311	1606766719373	OK	 
USER	Prove Ownership	15	END	1606766719309	1606766719374
USER	Prove Ownership	16	START	1606766719450	1606766719450
REQUEST	16		Prove Owner	1606766719451	1606766719514	OK	 
USER	Prove Ownership	16	END	1606766719450	1606766719515
USER	Prove Ownership	17	START	1606766719589	1606766719589
REQUEST	17		Prove Owner	1606766719590	1606766719680	OK	 
USER	Prove Ownership	17	END	1606766719589	1606766719680
USER	Prove Ownership	18	START	1606766719729	1606766719729
REQUEST	18		Prove Owner	1606766719730	1606766719791	OK	 
USER	Prove Ownership	18	END	1606766719729	1606766719791
USER	Prove Ownership	19	START	1606766719880	1606766719880
REQUEST	19		Prove Owner	1606766719882	1606766719950	OK	 
USER	Prove Ownership	19	END	1606766719880	1606766719950
USER	Prove Ownership	20	START	1606766720021	1606766720021
REQUEST	20		Prove Owner	1606766720022	1606766720089	OK	 
USER	Prove Ownership	20	END	1606766720021	1606766720090
USER	Prove Ownership	21	START	1606766720160	1606766720160
REQUEST	21		Prove Owner	1606766720161	1606766720220	OK	 
USER	Prove Ownership	21	END	1606766720160	1606766720221
USER	Prove Ownership	22	START	1606766720302	1606766720302
REQUEST	22		Prove Owner	1606766720303	1606766720367	OK	 
USER	Prove Ownership	22	END	1606766720302	1606766720368
USER	Prove Ownership	23	START	1606766720450	1606766720450
USER	Prove Ownership	24	START	1606766720590	1606766720590
REQUEST	23		Prove Owner	1606766720451	1606766720614	OK	 
USER	Prove Ownership	23	END	1606766720450	1606766720615
USER	Prove Ownership	25	START	1606766720729	1606766720729
REQUEST	24		Prove Owner	1606766720591	1606766720829	OK	 
USER	Prove Ownership	24	END	1606766720590	1606766720830
USER	Prove Ownership	26	START	1606766720881	1606766720881
REQUEST	25		Prove Owner	1606766720730	1606766720988	OK	 
USER	Prove Ownership	25	END	1606766720729	1606766720989
USER	Prove Ownership	27	START	1606766721019	1606766721019
REQUEST	26		Prove Owner	1606766720882	1606766721120	OK	 
USER	Prove Ownership	26	END	1606766720881	1606766721121
USER	Prove Ownership	28	START	1606766721160	1606766721160
REQUEST	27		Prove Owner	1606766721020	1606766721280	OK	 
USER	Prove Ownership	27	END	1606766721019	1606766721280
USER	Prove Ownership	29	START	1606766721299	1606766721299
REQUEST	28		Prove Owner	1606766721161	1606766721341	OK	 
USER	Prove Ownership	28	END	1606766721160	1606766721342
REQUEST	29		Prove Owner	1606766721300	1606766721365	OK	 
USER	Prove Ownership	29	END	1606766721299	1606766721366
