RUN	computerdatabase.ProveOwner	proveowner	1588023561117	5 per second	3.3.1
USER	Prove Ownership	37	END	1588023569662	1588023569750
USER	Prove Ownership	38	START	1588023569862	1588023569862
REQUEST	38		Prove Owner	1588023569863	1588023569926	OK	 
USER	Prove Ownership	38	END	1588023569862	1588023569927
USER	Prove Ownership	39	START	1588023570062	1588023570062
REQUEST	39		Prove Owner	1588023570063	1588023570166	OK	 
USER	Prove Ownership	39	END	1588023570062	1588023570167
USER	Prove Ownership	40	START	1588023570261	1588023570261
REQUEST	40		Prove Owner	1588023570263	1588023570347	OK	 
USER	Prove Ownership	40	END	1588023570261	1588023570348
USER	Prove Ownership	41	START	1588023570462	1588023570462
REQUEST	41		Prove Owner	1588023570463	1588023570527	OK	 
USER	Prove Ownership	41	END	1588023570462	1588023570528
USER	Prove Ownership	42	START	1588023570662	1588023570662
REQUEST	42		Prove Owner	1588023570663	1588023570746	OK	 
USER	Prove Ownership	42	END	1588023570662	1588023570747
USER	Prove Ownership	43	START	1588023570861	1588023570861
REQUEST	43		Prove Owner	1588023570863	1588023570928	OK	 
USER	Prove Ownership	43	END	1588023570861	1588023570929
USER	Prove Ownership	44	START	1588023571061	1588023571061
REQUEST	44		Prove Owner	1588023571062	1588023571141	OK	 
USER	Prove Ownership	44	END	1588023571061	1588023571142
USER	Prove Ownership	45	START	1588023571262	1588023571262
REQUEST	45		Prove Owner	1588023571264	1588023571348	OK	 
USER	Prove Ownership	45	END	1588023571262	1588023571349
USER	Prove Ownership	46	START	1588023571462	1588023571462
REQUEST	46		Prove Owner	1588023571463	1588023571527	OK	 
USER	Prove Ownership	46	END	1588023571462	1588023571528
USER	Prove Ownership	47	START	1588023571661	1588023571661
REQUEST	47		Prove Owner	1588023571662	1588023571755	OK	 
USER	Prove Ownership	47	END	1588023571661	1588023571756
USER	Prove Ownership	48	START	1588023571862	1588023571862
REQUEST	48		Prove Owner	1588023571863	1588023571926	OK	 
USER	Prove Ownership	48	END	1588023571862	1588023571927
USER	Prove Ownership	49	START	1588023572062	1588023572062
REQUEST	49		Prove Owner	1588023572062	1588023572154	OK	 
USER	Prove Ownership	49	END	1588023572062	1588023572155
USER	Prove Ownership	50	START	1588023572262	1588023572262
REQUEST	50		Prove Owner	1588023572263	1588023572320	OK	 
USER	Prove Ownership	50	END	1588023572262	1588023572321
USER	Prove Ownership	51	START	1588023572463	1588023572463
REQUEST	51		Prove Owner	1588023572464	1588023572522	OK	 
USER	Prove Ownership	51	END	1588023572463	1588023572523
USER	Prove Ownership	52	START	1588023572660	1588023572660
REQUEST	52		Prove Owner	1588023572662	1588023572773	OK	 
USER	Prove Ownership	52	END	1588023572660	1588023572774
USER	Prove Ownership	53	START	1588023572861	1588023572861
REQUEST	53		Prove Owner	1588023572862	1588023572927	OK	 
USER	Prove Ownership	53	END	1588023572861	1588023572928
USER	Prove Ownership	54	START	1588023573061	1588023573061
REQUEST	54		Prove Owner	1588023573062	1588023573133	OK	 
USER	Prove Ownership	54	END	1588023573061	1588023573134
USER	Prove Ownership	55	START	1588023573262	1588023573262
REQUEST	55		Prove Owner	1588023573263	1588023573341	OK	 
USER	Prove Ownership	55	END	1588023573262	1588023573342
USER	Prove Ownership	56	START	1588023573461	1588023573461
REQUEST	56		Prove Owner	1588023573462	1588023573528	OK	 
USER	Prove Ownership	56	END	1588023573461	1588023573529
USER	Prove Ownership	57	START	1588023573672	1588023573672
REQUEST	57		Prove Owner	1588023573672	1588023573733	OK	 
USER	Prove Ownership	57	END	1588023573672	1588023573734
USER	Prove Ownership	58	START	1588023573872	1588023573872
REQUEST	58		Prove Owner	1588023573873	1588023573942	OK	 
USER	Prove Ownership	58	END	1588023573872	1588023573943
USER	Prove Ownership	59	START	1588023574073	1588023574073
REQUEST	59		Prove Owner	1588023574073	1588023574146	OK	 
USER	Prove Ownership	59	END	1588023574073	1588023574147
USER	Prove Ownership	60	START	1588023574272	1588023574272
REQUEST	60		Prove Owner	1588023574273	1588023574333	OK	 
USER	Prove Ownership	60	END	1588023574272	1588023574334
USER	Prove Ownership	61	START	1588023574471	1588023574471
REQUEST	61		Prove Owner	1588023574472	1588023574536	OK	 
USER	Prove Ownership	61	END	1588023574471	1588023574536
USER	Prove Ownership	62	START	1588023574671	1588023574671
REQUEST	62		Prove Owner	1588023574672	1588023574756	OK	 
USER	Prove Ownership	62	END	1588023574671	1588023574757
USER	Prove Ownership	63	START	1588023574872	1588023574872
REQUEST	63		Prove Owner	1588023574873	1588023574945	OK	 
USER	Prove Ownership	63	END	1588023574872	1588023574946
USER	Prove Ownership	64	START	1588023575072	1588023575072
REQUEST	64		Prove Owner	1588023575074	1588023575174	OK	 
USER	Prove Ownership	64	END	1588023575072	1588023575175
USER	Prove Ownership	65	START	1588023575272	1588023575272
REQUEST	65		Prove Owner	1588023575273	1588023575362	OK	 
USER	Prove Ownership	65	END	1588023575272	1588023575363
USER	Prove Ownership	66	START	1588023575471	1588023575471
REQUEST	66		Prove Owner	1588023575472	1588023575596	OK	 
USER	Prove Ownership	66	END	1588023575471	1588023575597
USER	Prove Ownership	67	START	1588023575662	1588023575662
USER	Prove Ownership	68	START	1588023575861	1588023575861
REQUEST	67		Prove Owner	1588023575662	1588023575875	OK	 
USER	Prove Ownership	67	END	1588023575662	1588023575876
USER	Prove Ownership	69	START	1588023576061	1588023576061
REQUEST	68		Prove Owner	1588023575862	1588023576106	OK	 
USER	Prove Ownership	68	END	1588023575861	1588023576107
USER	Prove Ownership	70	START	1588023576261	1588023576261
REQUEST	69		Prove Owner	1588023576061	1588023576286	OK	 
USER	Prove Ownership	69	END	1588023576061	1588023576286
REQUEST	70		Prove Owner	1588023576262	1588023576347	OK	 
USER	Prove Ownership	70	END	1588023576261	1588023576348
USER	Prove Ownership	71	START	1588023576461	1588023576461
REQUEST	71		Prove Owner	1588023576462	1588023576514	OK	 
USER	Prove Ownership	71	END	1588023576461	1588023576515
USER	Prove Ownership	72	START	1588023576662	1588023576662
REQUEST	72		Prove Owner	1588023576663	1588023576711	OK	 
USER	Prove Ownership	72	END	1588023576662	1588023576712
USER	Prove Ownership	73	START	1588023576862	1588023576862
REQUEST	73		Prove Owner	1588023576863	1588023576922	OK	 
USER	Prove Ownership	73	END	1588023576862	1588023576922
USER	Prove Ownership	74	START	1588023577061	1588023577061
REQUEST	74		Prove Owner	1588023577062	1588023577155	OK	 
USER	Prove Ownership	74	END	1588023577061	1588023577155
USER	Prove Ownership	75	START	1588023577261	1588023577261
REQUEST	75		Prove Owner	1588023577262	1588023577363	OK	 
USER	Prove Ownership	75	END	1588023577261	1588023577364
USER	Prove Ownership	76	START	1588023577461	1588023577461
REQUEST	76		Prove Owner	1588023577462	1588023577535	OK	 
USER	Prove Ownership	76	END	1588023577461	1588023577535
USER	Prove Ownership	77	START	1588023577661	1588023577661
REQUEST	77		Prove Owner	1588023577662	1588023577769	OK	 
USER	Prove Ownership	77	END	1588023577661	1588023577771
USER	Prove Ownership	78	START	1588023577861	1588023577861
REQUEST	78		Prove Owner	1588023577862	1588023577928	OK	 
USER	Prove Ownership	78	END	1588023577861	1588023577929
USER	Prove Ownership	79	START	1588023578061	1588023578061
REQUEST	79		Prove Owner	1588023578061	1588023578177	OK	 
USER	Prove Ownership	79	END	1588023578061	1588023578178
