RUN	computerdatabase.ProveOwner	proveowner	1588092760519	9 per second	3.3.1
USER	Prove Ownership	1	START	1588092761922	1588092761922
USER	Prove Ownership	2	START	1588092762034	1588092762034
REQUEST	1		Prove Owner	1588092761972	1588092762112	OK	 
USER	Prove Ownership	3	START	1588092762144	1588092762144
USER	Prove Ownership	1	END	1588092761922	1588092762144
REQUEST	2		Prove Owner	1588092762035	1588092762209	OK	 
USER	Prove Ownership	2	END	1588092762034	1588092762210
USER	Prove Ownership	4	START	1588092762254	1588092762254
REQUEST	3		Prove Owner	1588092762145	1588092762269	OK	 
USER	Prove Ownership	3	END	1588092762144	1588092762278
USER	Prove Ownership	5	START	1588092762374	1588092762374
REQUEST	4		Prove Owner	1588092762255	1588092762390	OK	 
USER	Prove Ownership	4	END	1588092762254	1588092762393
REQUEST	5		Prove Owner	1588092762375	1588092762483	OK	 
USER	Prove Ownership	5	END	1588092762374	1588092762484
USER	Prove Ownership	6	START	1588092762484	1588092762484
REQUEST	6		Prove Owner	1588092762485	1588092762551	OK	 
USER	Prove Ownership	6	END	1588092762484	1588092762552
USER	Prove Ownership	7	START	1588092762595	1588092762595
REQUEST	7		Prove Owner	1588092762596	1588092762644	OK	 
USER	Prove Ownership	7	END	1588092762595	1588092762645
USER	Prove Ownership	8	START	1588092762714	1588092762714
REQUEST	8		Prove Owner	1588092762715	1588092762767	OK	 
USER	Prove Ownership	8	END	1588092762714	1588092762768
USER	Prove Ownership	9	START	1588092762825	1588092762825
REQUEST	9		Prove Owner	1588092762826	1588092762883	OK	 
USER	Prove Ownership	9	END	1588092762825	1588092762884
USER	Prove Ownership	10	START	1588092762934	1588092762934
REQUEST	10		Prove Owner	1588092762935	1588092763017	OK	 
USER	Prove Ownership	10	END	1588092762934	1588092763018
USER	Prove Ownership	11	START	1588092763044	1588092763044
REQUEST	11		Prove Owner	1588092763045	1588092763101	OK	 
USER	Prove Ownership	11	END	1588092763044	1588092763102
USER	Prove Ownership	12	START	1588092763154	1588092763154
REQUEST	12		Prove Owner	1588092763156	1588092763212	OK	 
USER	Prove Ownership	12	END	1588092763154	1588092763212
USER	Prove Ownership	13	START	1588092763265	1588092763265
REQUEST	13		Prove Owner	1588092763266	1588092763352	OK	 
USER	Prove Ownership	13	END	1588092763265	1588092763353
USER	Prove Ownership	14	START	1588092763376	1588092763376
REQUEST	14		Prove Owner	1588092763377	1588092763424	OK	 
USER	Prove Ownership	14	END	1588092763376	1588092763425
USER	Prove Ownership	15	START	1588092763485	1588092763485
REQUEST	15		Prove Owner	1588092763486	1588092763543	OK	 
USER	Prove Ownership	15	END	1588092763485	1588092763544
USER	Prove Ownership	16	START	1588092763594	1588092763594
REQUEST	16		Prove Owner	1588092763595	1588092763645	OK	 
USER	Prove Ownership	16	END	1588092763594	1588092763645
USER	Prove Ownership	17	START	1588092763714	1588092763714
REQUEST	17		Prove Owner	1588092763715	1588092763806	OK	 
USER	Prove Ownership	17	END	1588092763714	1588092763807
USER	Prove Ownership	18	START	1588092763823	1588092763823
REQUEST	18		Prove Owner	1588092763825	1588092763873	OK	 
USER	Prove Ownership	18	END	1588092763823	1588092763874
USER	Prove Ownership	19	START	1588092763935	1588092763935
REQUEST	19		Prove Owner	1588092763936	1588092763985	OK	 
USER	Prove Ownership	19	END	1588092763935	1588092763986
USER	Prove Ownership	20	START	1588092764034	1588092764034
REQUEST	20		Prove Owner	1588092764035	1588092764094	OK	 
USER	Prove Ownership	20	END	1588092764034	1588092764095
USER	Prove Ownership	21	START	1588092764144	1588092764144
REQUEST	21		Prove Owner	1588092764145	1588092764197	OK	 
USER	Prove Ownership	21	END	1588092764144	1588092764197
USER	Prove Ownership	22	START	1588092764254	1588092764254
REQUEST	22		Prove Owner	1588092764256	1588092764341	OK	 
USER	Prove Ownership	22	END	1588092764254	1588092764342
USER	Prove Ownership	23	START	1588092764373	1588092764373
REQUEST	23		Prove Owner	1588092764374	1588092764429	OK	 
USER	Prove Ownership	23	END	1588092764373	1588092764430
USER	Prove Ownership	24	START	1588092764485	1588092764485
REQUEST	24		Prove Owner	1588092764486	1588092764537	OK	 
USER	Prove Ownership	24	END	1588092764485	1588092764538
