RUN	computerdatabase.ProveOwner	proveowner	1588091432904	5 per second	3.3.1
USER	Prove Ownership	1	START	1588091436059	1588091436059
USER	Prove Ownership	2	START	1588091436271	1588091436271
USER	Prove Ownership	3	START	1588091436472	1588091436472
USER	Prove Ownership	4	START	1588091436680	1588091436680
USER	Prove Ownership	5	START	1588091436881	1588091436881
USER	Prove Ownership	6	START	1588091437080	1588091437080
USER	Prove Ownership	7	START	1588091437281	1588091437281
USER	Prove Ownership	8	START	1588091437480	1588091437480
REQUEST	5		Prove Owner	1588091436882	1588091437481	OK	 
USER	Prove Ownership	5	END	1588091436881	1588091437514
REQUEST	1		Prove Owner	1588091436174	1588091437588	OK	 
USER	Prove Ownership	1	END	1588091436059	1588091437590
REQUEST	6		Prove Owner	1588091437082	1588091437617	OK	 
USER	Prove Ownership	6	END	1588091437080	1588091437617
USER	Prove Ownership	9	START	1588091437680	1588091437680
REQUEST	2		Prove Owner	1588091436273	1588091437830	OK	 
USER	Prove Ownership	2	END	1588091436271	1588091437831
REQUEST	4		Prove Owner	1588091436681	1588091437894	OK	 
USER	Prove Ownership	4	END	1588091436680	1588091437895
USER	Prove Ownership	10	START	1588091437922	1588091437922
REQUEST	3		Prove Owner	1588091436474	1588091438052	OK	 
USER	Prove Ownership	3	END	1588091436472	1588091438053
REQUEST	7		Prove Owner	1588091437282	1588091438091	OK	 
USER	Prove Ownership	7	END	1588091437281	1588091438092
USER	Prove Ownership	11	START	1588091438120	1588091438120
USER	Prove Ownership	12	START	1588091438222	1588091438222
REQUEST	8		Prove Owner	1588091437481	1588091438287	OK	 
USER	Prove Ownership	8	END	1588091437480	1588091438288
REQUEST	9		Prove Owner	1588091437682	1588091438322	OK	 
USER	Prove Ownership	9	END	1588091437680	1588091438323
USER	Prove Ownership	13	START	1588091438420	1588091438420
REQUEST	10		Prove Owner	1588091437923	1588091438478	OK	 
USER	Prove Ownership	10	END	1588091437922	1588091438480
REQUEST	11		Prove Owner	1588091438121	1588091438540	OK	 
USER	Prove Ownership	11	END	1588091438120	1588091438541
USER	Prove Ownership	14	START	1588091438620	1588091438620
REQUEST	13		Prove Owner	1588091438421	1588091438752	OK	 
USER	Prove Ownership	13	END	1588091438420	1588091438753
REQUEST	12		Prove Owner	1588091438223	1588091438789	OK	 
USER	Prove Ownership	12	END	1588091438222	1588091438791
USER	Prove Ownership	15	START	1588091438823	1588091438823
REQUEST	14		Prove Owner	1588091438622	1588091438841	OK	 
USER	Prove Ownership	14	END	1588091438620	1588091438842
REQUEST	15		Prove Owner	1588091438823	1588091438901	OK	 
USER	Prove Ownership	15	END	1588091438823	1588091438902
USER	Prove Ownership	16	START	1588091439022	1588091439022
REQUEST	16		Prove Owner	1588091439023	1588091439126	OK	 
USER	Prove Ownership	16	END	1588091439022	1588091439127
USER	Prove Ownership	17	START	1588091439221	1588091439221
REQUEST	17		Prove Owner	1588091439223	1588091439285	OK	 
USER	Prove Ownership	17	END	1588091439221	1588091439286
USER	Prove Ownership	18	START	1588091439420	1588091439420
REQUEST	18		Prove Owner	1588091439421	1588091439481	OK	 
USER	Prove Ownership	18	END	1588091439420	1588091439481
USER	Prove Ownership	19	START	1588091439621	1588091439621
REQUEST	19		Prove Owner	1588091439623	1588091439677	OK	 
USER	Prove Ownership	19	END	1588091439621	1588091439678
USER	Prove Ownership	20	START	1588091439821	1588091439821
REQUEST	20		Prove Owner	1588091439822	1588091439885	OK	 
USER	Prove Ownership	20	END	1588091439821	1588091439886
USER	Prove Ownership	21	START	1588091440021	1588091440021
REQUEST	21		Prove Owner	1588091440022	1588091440101	OK	 
USER	Prove Ownership	21	END	1588091440021	1588091440103
USER	Prove Ownership	22	START	1588091440221	1588091440221
REQUEST	22		Prove Owner	1588091440223	1588091440286	OK	 
USER	Prove Ownership	22	END	1588091440221	1588091440287
USER	Prove Ownership	23	START	1588091440421	1588091440421
REQUEST	23		Prove Owner	1588091440423	1588091440502	OK	 
USER	Prove Ownership	23	END	1588091440421	1588091440503
USER	Prove Ownership	24	START	1588091440621	1588091440621
REQUEST	24		Prove Owner	1588091440622	1588091440687	OK	 
USER	Prove Ownership	24	END	1588091440621	1588091440687
USER	Prove Ownership	25	START	1588091440820	1588091440820
REQUEST	25		Prove Owner	1588091440821	1588091440880	OK	 
USER	Prove Ownership	25	END	1588091440820	1588091440881
USER	Prove Ownership	26	START	1588091441021	1588091441021
REQUEST	26		Prove Owner	1588091441022	1588091441109	OK	 
USER	Prove Ownership	26	END	1588091441021	1588091441110
USER	Prove Ownership	27	START	1588091441220	1588091441220
REQUEST	27		Prove Owner	1588091441221	1588091441324	OK	 
USER	Prove Ownership	27	END	1588091441220	1588091441324
USER	Prove Ownership	28	START	1588091441421	1588091441421
REQUEST	28		Prove Owner	1588091441424	1588091441486	OK	 
USER	Prove Ownership	28	END	1588091441421	1588091441487
USER	Prove Ownership	29	START	1588091441620	1588091441620
REQUEST	29		Prove Owner	1588091441622	1588091441688	OK	 
USER	Prove Ownership	29	END	1588091441620	1588091441688
USER	Prove Ownership	30	START	1588091441820	1588091441820
REQUEST	30		Prove Owner	1588091441822	1588091441882	OK	 
USER	Prove Ownership	30	END	1588091441820	1588091441883
USER	Prove Ownership	31	START	1588091442022	1588091442022
REQUEST	31		Prove Owner	1588091442023	1588091442113	OK	 
USER	Prove Ownership	31	END	1588091442022	1588091442114
USER	Prove Ownership	32	START	1588091442220	1588091442220
REQUEST	32		Prove Owner	1588091442221	1588091442269	OK	 
USER	Prove Ownership	32	END	1588091442220	1588091442269
USER	Prove Ownership	33	START	1588091442422	1588091442422
REQUEST	33		Prove Owner	1588091442424	1588091442520	OK	 
USER	Prove Ownership	33	END	1588091442422	1588091442521
USER	Prove Ownership	34	START	1588091442620	1588091442620
REQUEST	34		Prove Owner	1588091442621	1588091442679	OK	 
USER	Prove Ownership	34	END	1588091442620	1588091442679
USER	Prove Ownership	35	START	1588091442821	1588091442821
REQUEST	35		Prove Owner	1588091442821	1588091442878	OK	 
USER	Prove Ownership	35	END	1588091442821	1588091442879
USER	Prove Ownership	36	START	1588091443020	1588091443020
REQUEST	36		Prove Owner	1588091443021	1588091443081	OK	 
USER	Prove Ownership	36	END	1588091443020	1588091443082
USER	Prove Ownership	37	START	1588091443221	1588091443221
REQUEST	37		Prove Owner	1588091443221	1588091443290	OK	 
USER	Prove Ownership	37	END	1588091443221	1588091443291
USER	Prove Ownership	38	START	1588091443421	1588091443421
REQUEST	38		Prove Owner	1588091443422	1588091443488	OK	 
USER	Prove Ownership	38	END	1588091443421	1588091443489
USER	Prove Ownership	39	START	1588091443621	1588091443621
REQUEST	39		Prove Owner	1588091443622	1588091443681	OK	 
USER	Prove Ownership	39	END	1588091443621	1588091443682
USER	Prove Ownership	40	START	1588091443821	1588091443821
REQUEST	40		Prove Owner	1588091443822	1588091443902	OK	 
USER	Prove Ownership	40	END	1588091443821	1588091443903
USER	Prove Ownership	41	START	1588091444021	1588091444021
REQUEST	41		Prove Owner	1588091444022	1588091444117	OK	 
USER	Prove Ownership	41	END	1588091444021	1588091444118
USER	Prove Ownership	42	START	1588091444220	1588091444220
REQUEST	42		Prove Owner	1588091444221	1588091444302	OK	 
USER	Prove Ownership	42	END	1588091444220	1588091444302
USER	Prove Ownership	43	START	1588091444420	1588091444420
REQUEST	43		Prove Owner	1588091444420	1588091444488	OK	 
USER	Prove Ownership	43	END	1588091444420	1588091444489
USER	Prove Ownership	44	START	1588091444621	1588091444621
REQUEST	44		Prove Owner	1588091444621	1588091444680	OK	 
USER	Prove Ownership	44	END	1588091444621	1588091444681
USER	Prove Ownership	45	START	1588091444820	1588091444820
REQUEST	45		Prove Owner	1588091444821	1588091444873	OK	 
USER	Prove Ownership	45	END	1588091444820	1588091444874
USER	Prove Ownership	46	START	1588091445021	1588091445021
REQUEST	46		Prove Owner	1588091445022	1588091445093	OK	 
USER	Prove Ownership	46	END	1588091445021	1588091445094
USER	Prove Ownership	47	START	1588091445221	1588091445221
REQUEST	47		Prove Owner	1588091445222	1588091445278	OK	 
USER	Prove Ownership	47	END	1588091445221	1588091445278
USER	Prove Ownership	48	START	1588091445421	1588091445421
REQUEST	48		Prove Owner	1588091445422	1588091445485	OK	 
USER	Prove Ownership	48	END	1588091445421	1588091445486
USER	Prove Ownership	49	START	1588091445621	1588091445621
REQUEST	49		Prove Owner	1588091445623	1588091445684	OK	 
USER	Prove Ownership	49	END	1588091445621	1588091445684
USER	Prove Ownership	50	START	1588091445821	1588091445821
REQUEST	50		Prove Owner	1588091445823	1588091445900	OK	 
USER	Prove Ownership	50	END	1588091445821	1588091445900
USER	Prove Ownership	51	START	1588091446021	1588091446021
REQUEST	51		Prove Owner	1588091446022	1588091446137	OK	 
USER	Prove Ownership	51	END	1588091446021	1588091446138
USER	Prove Ownership	52	START	1588091446220	1588091446220
USER	Prove Ownership	53	START	1588091446420	1588091446420
REQUEST	52		Prove Owner	1588091446221	1588091446473	OK	 
USER	Prove Ownership	52	END	1588091446220	1588091446474
