RUN	computerdatabase.ProveOwner	proveowner	1606767974831	 	3.3.1
USER	Prove Ownership	1774	END	1606768173524	1606768173580
USER	Prove Ownership	1775	START	1606768173642	1606768173642
REQUEST	1775		Prove Owner	1606768173642	1606768173725	OK	 
USER	Prove Ownership	1775	END	1606768173642	1606768173726
USER	Prove Ownership	1776	START	1606768173753	1606768173753
REQUEST	1776		Prove Owner	1606768173753	1606768173813	OK	 
USER	Prove Ownership	1776	END	1606768173753	1606768173813
USER	Prove Ownership	1777	START	1606768173862	1606768173862
REQUEST	1777		Prove Owner	1606768173863	1606768173922	OK	 
USER	Prove Ownership	1777	END	1606768173862	1606768173922
USER	Prove Ownership	1778	START	1606768173974	1606768173974
REQUEST	1778		Prove Owner	1606768173974	1606768174034	OK	 
USER	Prove Ownership	1778	END	1606768173974	1606768174035
USER	Prove Ownership	1779	START	1606768174081	1606768174081
REQUEST	1779		Prove Owner	1606768174082	1606768174182	OK	 
USER	Prove Ownership	1779	END	1606768174081	1606768174183
USER	Prove Ownership	1780	START	1606768174192	1606768174192
REQUEST	1780		Prove Owner	1606768174193	1606768174262	OK	 
USER	Prove Ownership	1780	END	1606768174192	1606768174262
USER	Prove Ownership	1781	START	1606768174304	1606768174304
REQUEST	1781		Prove Owner	1606768174304	1606768174359	OK	 
USER	Prove Ownership	1781	END	1606768174304	1606768174359
USER	Prove Ownership	1782	START	1606768174412	1606768174412
REQUEST	1782		Prove Owner	1606768174412	1606768174502	OK	 
USER	Prove Ownership	1782	END	1606768174412	1606768174503
USER	Prove Ownership	1783	START	1606768174534	1606768174534
REQUEST	1783		Prove Owner	1606768174534	1606768174596	OK	 
USER	Prove Ownership	1783	END	1606768174534	1606768174597
USER	Prove Ownership	1784	START	1606768174634	1606768174634
REQUEST	1784		Prove Owner	1606768174634	1606768174717	OK	 
USER	Prove Ownership	1784	END	1606768174634	1606768174718
USER	Prove Ownership	1785	START	1606768174744	1606768174744
REQUEST	1785		Prove Owner	1606768174744	1606768174803	OK	 
USER	Prove Ownership	1785	END	1606768174744	1606768174803
USER	Prove Ownership	1786	START	1606768174861	1606768174861
REQUEST	1786		Prove Owner	1606768174862	1606768174928	OK	 
USER	Prove Ownership	1786	END	1606768174861	1606768174929
USER	Prove Ownership	1787	START	1606768174971	1606768174971
REQUEST	1787		Prove Owner	1606768174972	1606768175047	OK	 
USER	Prove Ownership	1787	END	1606768174971	1606768175047
USER	Prove Ownership	1788	START	1606768175083	1606768175083
REQUEST	1788		Prove Owner	1606768175084	1606768175166	OK	 
USER	Prove Ownership	1788	END	1606768175083	1606768175167
USER	Prove Ownership	1789	START	1606768175193	1606768175193
REQUEST	1789		Prove Owner	1606768175194	1606768175256	OK	 
USER	Prove Ownership	1789	END	1606768175193	1606768175256
USER	Prove Ownership	1790	START	1606768175303	1606768175303
REQUEST	1790		Prove Owner	1606768175303	1606768175351	OK	 
USER	Prove Ownership	1790	END	1606768175303	1606768175351
USER	Prove Ownership	1791	START	1606768175412	1606768175412
REQUEST	1791		Prove Owner	1606768175412	1606768175479	OK	 
USER	Prove Ownership	1791	END	1606768175412	1606768175479
USER	Prove Ownership	1792	START	1606768175521	1606768175521
REQUEST	1792		Prove Owner	1606768175522	1606768175597	OK	 
USER	Prove Ownership	1792	END	1606768175521	1606768175597
USER	Prove Ownership	1793	START	1606768175641	1606768175641
REQUEST	1793		Prove Owner	1606768175642	1606768175731	OK	 
USER	Prove Ownership	1793	END	1606768175641	1606768175732
USER	Prove Ownership	1794	START	1606768175753	1606768175753
REQUEST	1794		Prove Owner	1606768175753	1606768175810	OK	 
USER	Prove Ownership	1794	END	1606768175753	1606768175810
USER	Prove Ownership	1795	START	1606768175861	1606768175861
REQUEST	1795		Prove Owner	1606768175862	1606768175921	OK	 
USER	Prove Ownership	1795	END	1606768175861	1606768175921
USER	Prove Ownership	1796	START	1606768175972	1606768175972
REQUEST	1796		Prove Owner	1606768175973	1606768176036	OK	 
USER	Prove Ownership	1796	END	1606768175972	1606768176037
USER	Prove Ownership	1797	START	1606768176082	1606768176082
REQUEST	1797		Prove Owner	1606768176082	1606768176131	OK	 
USER	Prove Ownership	1797	END	1606768176082	1606768176132
USER	Prove Ownership	1798	START	1606768176192	1606768176192
REQUEST	1798		Prove Owner	1606768176193	1606768176248	OK	 
USER	Prove Ownership	1798	END	1606768176192	1606768176248
USER	Prove Ownership	1799	START	1606768176302	1606768176302
REQUEST	1799		Prove Owner	1606768176302	1606768176367	OK	 
USER	Prove Ownership	1799	END	1606768176302	1606768176368
USER	Prove Ownership	1800	START	1606768176413	1606768176413
REQUEST	1800		Prove Owner	1606768176413	1606768176484	OK	 
USER	Prove Ownership	1800	END	1606768176413	1606768176485
USER	Prove Ownership	1801	START	1606768176523	1606768176523
REQUEST	1801		Prove Owner	1606768176523	1606768176618	OK	 
USER	Prove Ownership	1801	END	1606768176523	1606768176618
USER	Prove Ownership	1802	START	1606768176642	1606768176642
REQUEST	1802		Prove Owner	1606768176642	1606768176715	OK	 
USER	Prove Ownership	1802	END	1606768176642	1606768176715
USER	Prove Ownership	1803	START	1606768176753	1606768176753
REQUEST	1803		Prove Owner	1606768176754	1606768176854	OK	 
USER	Prove Ownership	1803	END	1606768176753	1606768176854
USER	Prove Ownership	1804	START	1606768176862	1606768176862
REQUEST	1804		Prove Owner	1606768176863	1606768176937	OK	 
USER	Prove Ownership	1804	END	1606768176862	1606768176937
USER	Prove Ownership	1805	START	1606768176974	1606768176974
REQUEST	1805		Prove Owner	1606768176974	1606768177038	OK	 
USER	Prove Ownership	1805	END	1606768176974	1606768177038
USER	Prove Ownership	1806	START	1606768177082	1606768177082
REQUEST	1806		Prove Owner	1606768177082	1606768177139	OK	 
USER	Prove Ownership	1806	END	1606768177082	1606768177140
USER	Prove Ownership	1807	START	1606768177193	1606768177193
REQUEST	1807		Prove Owner	1606768177194	1606768177253	OK	 
USER	Prove Ownership	1807	END	1606768177193	1606768177254
USER	Prove Ownership	1808	START	1606768177302	1606768177302
REQUEST	1808		Prove Owner	1606768177302	1606768177366	OK	 
USER	Prove Ownership	1808	END	1606768177302	1606768177366
USER	Prove Ownership	1809	START	1606768177412	1606768177412
REQUEST	1809		Prove Owner	1606768177412	1606768177470	OK	 
USER	Prove Ownership	1809	END	1606768177412	1606768177470
USER	Prove Ownership	1810	START	1606768177522	1606768177522
REQUEST	1810		Prove Owner	1606768177523	1606768177592	OK	 
USER	Prove Ownership	1810	END	1606768177522	1606768177593
USER	Prove Ownership	1811	START	1606768177642	1606768177642
REQUEST	1811		Prove Owner	1606768177642	1606768177720	OK	 
USER	Prove Ownership	1811	END	1606768177642	1606768177720
USER	Prove Ownership	1812	START	1606768177752	1606768177752
REQUEST	1812		Prove Owner	1606768177752	1606768177807	OK	 
USER	Prove Ownership	1812	END	1606768177752	1606768177807
USER	Prove Ownership	1813	START	1606768177862	1606768177862
USER	Prove Ownership	1814	START	1606768177972	1606768177972
REQUEST	1813		Prove Owner	1606768177863	1606768177994	OK	 
USER	Prove Ownership	1813	END	1606768177862	1606768177994
REQUEST	1814		Prove Owner	1606768177972	1606768178054	OK	 
USER	Prove Ownership	1814	END	1606768177972	1606768178054
USER	Prove Ownership	1815	START	1606768178083	1606768178083
REQUEST	1815		Prove Owner	1606768178084	1606768178140	OK	 
USER	Prove Ownership	1815	END	1606768178083	1606768178141
USER	Prove Ownership	1816	START	1606768178192	1606768178192
REQUEST	1816		Prove Owner	1606768178192	1606768178242	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Prove Ownership	1816	END	1606768178192	1606768178243
USER	Prove Ownership	1817	START	1606768178302	1606768178302
REQUEST	1817		Prove Owner	1606768178302	1606768178353	OK	 
USER	Prove Ownership	1817	END	1606768178302	1606768178353
USER	Prove Ownership	1818	START	1606768178412	1606768178412
REQUEST	1818		Prove Owner	1606768178412	1606768178459	OK	 
USER	Prove Ownership	1818	END	1606768178412	1606768178459
USER	Prove Ownership	1819	START	1606768178521	1606768178521
REQUEST	1819		Prove Owner	1606768178522	1606768178581	OK	 
USER	Prove Ownership	1819	END	1606768178521	1606768178581
USER	Prove Ownership	1820	START	1606768178642	1606768178642
REQUEST	1820		Prove Owner	1606768178643	1606768178742	OK	 
USER	Prove Ownership	1820	END	1606768178642	1606768178742
USER	Prove Ownership	1821	START	1606768178752	1606768178752
REQUEST	1821		Prove Owner	1606768178752	1606768178811	OK	 
USER	Prove Ownership	1821	END	1606768178752	1606768178812
USER	Prove Ownership	1822	START	1606768178864	1606768178864
REQUEST	1822		Prove Owner	1606768178865	1606768178936	OK	 
USER	Prove Ownership	1822	END	1606768178864	1606768178937
USER	Prove Ownership	1823	START	1606768178972	1606768178972
REQUEST	1823		Prove Owner	1606768178972	1606768179060	OK	 
USER	Prove Ownership	1823	END	1606768178972	1606768179060
USER	Prove Ownership	1824	START	1606768179082	1606768179082
REQUEST	1824		Prove Owner	1606768179082	1606768179144	OK	 
USER	Prove Ownership	1824	END	1606768179082	1606768179144
USER	Prove Ownership	1825	START	1606768179192	1606768179192
REQUEST	1825		Prove Owner	1606768179192	1606768179257	OK	 
USER	Prove Ownership	1825	END	1606768179192	1606768179257
USER	Prove Ownership	1826	START	1606768179303	1606768179303
REQUEST	1826		Prove Owner	1606768179303	1606768179361	OK	 
USER	Prove Ownership	1826	END	1606768179303	1606768179362
USER	Prove Ownership	1827	START	1606768179413	1606768179413
REQUEST	1827		Prove Owner	1606768179413	1606768179472	OK	 
USER	Prove Ownership	1827	END	1606768179413	1606768179472
USER	Prove Ownership	1828	START	1606768179533	1606768179533
REQUEST	1828		Prove Owner	1606768179533	1606768179592	OK	 
USER	Prove Ownership	1828	END	1606768179533	1606768179592
USER	Prove Ownership	1829	START	1606768179633	1606768179633
REQUEST	1829		Prove Owner	1606768179633	1606768179718	OK	 
USER	Prove Ownership	1829	END	1606768179633	1606768179719
USER	Prove Ownership	1830	START	1606768179753	1606768179753
REQUEST	1830		Prove Owner	1606768179754	1606768179826	OK	 
USER	Prove Ownership	1830	END	1606768179753	1606768179826
USER	Prove Ownership	1831	START	1606768179862	1606768179862
REQUEST	1831		Prove Owner	1606768179862	1606768179947	OK	 
USER	Prove Ownership	1831	END	1606768179862	1606768179947
USER	Prove Ownership	1832	START	1606768179973	1606768179973
REQUEST	1832		Prove Owner	1606768179973	1606768180046	OK	 
USER	Prove Ownership	1832	END	1606768179973	1606768180046
USER	Prove Ownership	1833	START	1606768180082	1606768180082
REQUEST	1833		Prove Owner	1606768180082	1606768180148	OK	 
USER	Prove Ownership	1833	END	1606768180082	1606768180149
USER	Prove Ownership	1834	START	1606768180191	1606768180191
REQUEST	1834		Prove Owner	1606768180192	1606768180258	OK	 
USER	Prove Ownership	1834	END	1606768180191	1606768180258
USER	Prove Ownership	1835	START	1606768180302	1606768180302
REQUEST	1835		Prove Owner	1606768180302	1606768180368	OK	 
USER	Prove Ownership	1835	END	1606768180302	1606768180369
USER	Prove Ownership	1836	START	1606768180412	1606768180412
REQUEST	1836		Prove Owner	1606768180412	1606768180512	OK	 
USER	Prove Ownership	1836	END	1606768180412	1606768180512
USER	Prove Ownership	1837	START	1606768180522	1606768180522
USER	Prove Ownership	1838	START	1606768180642	1606768180642
USER	Prove Ownership	1839	START	1606768180751	1606768180751
REQUEST	1837		Prove Owner	1606768180522	1606768180782	OK	 
USER	Prove Ownership	1837	END	1606768180522	1606768180782
USER	Prove Ownership	1840	START	1606768180862	1606768180862
USER	Prove Ownership	1841	START	1606768180972	1606768180972
REQUEST	1838		Prove Owner	1606768180642	1606768180992	OK	 
USER	Prove Ownership	1838	END	1606768180642	1606768180993
REQUEST	1839		Prove Owner	1606768180751	1606768181047	OK	 
USER	Prove Ownership	1839	END	1606768180751	1606768181048
USER	Prove Ownership	1842	START	1606768181081	1606768181081
USER	Prove Ownership	1843	START	1606768181192	1606768181192
REQUEST	1840		Prove Owner	1606768180862	1606768181251	OK	 
USER	Prove Ownership	1840	END	1606768180862	1606768181251
USER	Prove Ownership	1844	START	1606768181302	1606768181302
REQUEST	1841		Prove Owner	1606768180972	1606768181337	OK	 
USER	Prove Ownership	1841	END	1606768180972	1606768181337
REQUEST	1842		Prove Owner	1606768181082	1606768181371	OK	 
USER	Prove Ownership	1842	END	1606768181081	1606768181371
USER	Prove Ownership	1845	START	1606768181412	1606768181412
REQUEST	1843		Prove Owner	1606768181193	1606768181429	OK	 
USER	Prove Ownership	1843	END	1606768181192	1606768181429
REQUEST	1844		Prove Owner	1606768181303	1606768181452	OK	 
USER	Prove Ownership	1844	END	1606768181302	1606768181452
REQUEST	1845		Prove Owner	1606768181412	1606768181493	OK	 
USER	Prove Ownership	1845	END	1606768181412	1606768181493
USER	Prove Ownership	1846	START	1606768181522	1606768181522
REQUEST	1846		Prove Owner	1606768181523	1606768181575	OK	 
USER	Prove Ownership	1846	END	1606768181522	1606768181575
USER	Prove Ownership	1847	START	1606768181642	1606768181642
REQUEST	1847		Prove Owner	1606768181642	1606768181747	OK	 
USER	Prove Ownership	1847	END	1606768181642	1606768181747
USER	Prove Ownership	1848	START	1606768181752	1606768181752
REQUEST	1848		Prove Owner	1606768181752	1606768181845	OK	 
USER	Prove Ownership	1848	END	1606768181752	1606768181845
USER	Prove Ownership	1849	START	1606768181862	1606768181862
REQUEST	1849		Prove Owner	1606768181862	1606768181930	OK	 
USER	Prove Ownership	1849	END	1606768181862	1606768181930
USER	Prove Ownership	1850	START	1606768181972	1606768181972
REQUEST	1850		Prove Owner	1606768181973	1606768182022	OK	 
USER	Prove Ownership	1850	END	1606768181972	1606768182023
USER	Prove Ownership	1851	START	1606768182083	1606768182083
REQUEST	1851		Prove Owner	1606768182083	1606768182142	OK	 
USER	Prove Ownership	1851	END	1606768182083	1606768182142
USER	Prove Ownership	1852	START	1606768182193	1606768182193
REQUEST	1852		Prove Owner	1606768182193	1606768182250	OK	 
USER	Prove Ownership	1852	END	1606768182193	1606768182250
USER	Prove Ownership	1853	START	1606768182303	1606768182303
REQUEST	1853		Prove Owner	1606768182304	1606768182369	OK	 
USER	Prove Ownership	1853	END	1606768182303	1606768182369
USER	Prove Ownership	1854	START	1606768182413	1606768182413
REQUEST	1854		Prove Owner	1606768182413	1606768182478	OK	 
USER	Prove Ownership	1854	END	1606768182413	1606768182478
USER	Prove Ownership	1855	START	1606768182522	1606768182522
REQUEST	1855		Prove Owner	1606768182522	1606768182575	OK	 
USER	Prove Ownership	1855	END	1606768182522	1606768182576
USER	Prove Ownership	1856	START	1606768182643	1606768182643
REQUEST	1856		Prove Owner	1606768182643	1606768182715	OK	 
USER	Prove Ownership	1856	END	1606768182643	1606768182716
USER	Prove Ownership	1857	START	1606768182753	1606768182753
REQUEST	1857		Prove Owner	1606768182754	1606768182816	OK	 
USER	Prove Ownership	1857	END	1606768182753	1606768182816
USER	Prove Ownership	1858	START	1606768182861	1606768182861
REQUEST	1858		Prove Owner	1606768182862	1606768182969	OK	 
USER	Prove Ownership	1858	END	1606768182861	1606768182970
USER	Prove Ownership	1859	START	1606768182972	1606768182972
REQUEST	1859		Prove Owner	1606768182972	1606768183035	OK	 
USER	Prove Ownership	1859	END	1606768182972	1606768183036
USER	Prove Ownership	1860	START	1606768183082	1606768183082
REQUEST	1860		Prove Owner	1606768183082	1606768183136	OK	 
USER	Prove Ownership	1860	END	1606768183082	1606768183136
USER	Prove Ownership	1861	START	1606768183193	1606768183193
REQUEST	1861		Prove Owner	1606768183193	1606768183257	OK	 
USER	Prove Ownership	1861	END	1606768183193	1606768183257
USER	Prove Ownership	1862	START	1606768183303	1606768183303
REQUEST	1862		Prove Owner	1606768183303	1606768183382	OK	 
USER	Prove Ownership	1862	END	1606768183303	1606768183382
USER	Prove Ownership	1863	START	1606768183412	1606768183412
REQUEST	1863		Prove Owner	1606768183412	1606768183484	OK	 
USER	Prove Ownership	1863	END	1606768183412	1606768183484
USER	Prove Ownership	1864	START	1606768183522	1606768183522
REQUEST	1864		Prove Owner	1606768183522	1606768183578	OK	 
USER	Prove Ownership	1864	END	1606768183522	1606768183578
USER	Prove Ownership	1865	START	1606768183642	1606768183642
REQUEST	1865		Prove Owner	1606768183643	1606768183729	OK	 
USER	Prove Ownership	1865	END	1606768183642	1606768183729
USER	Prove Ownership	1866	START	1606768183752	1606768183752
REQUEST	1866		Prove Owner	1606768183752	1606768183815	OK	 
USER	Prove Ownership	1866	END	1606768183752	1606768183815
USER	Prove Ownership	1867	START	1606768183863	1606768183863
REQUEST	1867		Prove Owner	1606768183863	1606768183925	OK	 
USER	Prove Ownership	1867	END	1606768183863	1606768183925
USER	Prove Ownership	1868	START	1606768183971	1606768183971
REQUEST	1868		Prove Owner	1606768183971	1606768184036	OK	 
USER	Prove Ownership	1868	END	1606768183971	1606768184037
USER	Prove Ownership	1869	START	1606768184083	1606768184083
REQUEST	1869		Prove Owner	1606768184083	1606768184150	OK	 
USER	Prove Ownership	1869	END	1606768184083	1606768184150
USER	Prove Ownership	1870	START	1606768184193	1606768184193
REQUEST	1870		Prove Owner	1606768184193	1606768184262	OK	 
USER	Prove Ownership	1870	END	1606768184193	1606768184262
USER	Prove Ownership	1871	START	1606768184303	1606768184303
REQUEST	1871		Prove Owner	1606768184303	1606768184372	OK	 
USER	Prove Ownership	1871	END	1606768184303	1606768184372
USER	Prove Ownership	1872	START	1606768184413	1606768184413
REQUEST	1872		Prove Owner	1606768184413	1606768184477	OK	 
USER	Prove Ownership	1872	END	1606768184413	1606768184477
USER	Prove Ownership	1873	START	1606768184524	1606768184524
REQUEST	1873		Prove Owner	1606768184524	1606768184613	OK	 
USER	Prove Ownership	1873	END	1606768184524	1606768184613
USER	Prove Ownership	1874	START	1606768184643	1606768184643
REQUEST	1874		Prove Owner	1606768184643	1606768184715	OK	 
USER	Prove Ownership	1874	END	1606768184643	1606768184716
USER	Prove Ownership	1875	START	1606768184753	1606768184753
REQUEST	1875		Prove Owner	1606768184753	1606768184811	OK	 
USER	Prove Ownership	1875	END	1606768184753	1606768184812
USER	Prove Ownership	1876	START	1606768184862	1606768184862
REQUEST	1876		Prove Owner	1606768184862	1606768184933	OK	 
USER	Prove Ownership	1876	END	1606768184862	1606768184933
USER	Prove Ownership	1877	START	1606768184973	1606768184973
REQUEST	1877		Prove Owner	1606768184973	1606768185030	OK	 
USER	Prove Ownership	1877	END	1606768184973	1606768185031
USER	Prove Ownership	1878	START	1606768185083	1606768185083
REQUEST	1878		Prove Owner	1606768185084	1606768185143	OK	 
USER	Prove Ownership	1878	END	1606768185083	1606768185143
USER	Prove Ownership	1879	START	1606768185192	1606768185192
REQUEST	1879		Prove Owner	1606768185193	1606768185269	OK	 
USER	Prove Ownership	1879	END	1606768185192	1606768185269
USER	Prove Ownership	1880	START	1606768185302	1606768185302
REQUEST	1880		Prove Owner	1606768185303	1606768185381	OK	 
USER	Prove Ownership	1880	END	1606768185302	1606768185382
USER	Prove Ownership	1881	START	1606768185413	1606768185413
REQUEST	1881		Prove Owner	1606768185413	1606768185479	OK	 
USER	Prove Ownership	1881	END	1606768185413	1606768185480
USER	Prove Ownership	1882	START	1606768185533	1606768185533
REQUEST	1882		Prove Owner	1606768185534	1606768185591	OK	 
USER	Prove Ownership	1882	END	1606768185533	1606768185592
USER	Prove Ownership	1883	START	1606768185632	1606768185632
REQUEST	1883		Prove Owner	1606768185633	1606768185714	OK	 
USER	Prove Ownership	1883	END	1606768185632	1606768185714
USER	Prove Ownership	1884	START	1606768185754	1606768185754
REQUEST	1884		Prove Owner	1606768185754	1606768185815	OK	 
USER	Prove Ownership	1884	END	1606768185754	1606768185815
USER	Prove Ownership	1885	START	1606768185862	1606768185862
REQUEST	1885		Prove Owner	1606768185863	1606768185938	OK	 
USER	Prove Ownership	1885	END	1606768185862	1606768185939
USER	Prove Ownership	1886	START	1606768185972	1606768185972
REQUEST	1886		Prove Owner	1606768185972	1606768186024	OK	 
USER	Prove Ownership	1886	END	1606768185972	1606768186024
USER	Prove Ownership	1887	START	1606768186084	1606768186084
REQUEST	1887		Prove Owner	1606768186084	1606768186143	OK	 
USER	Prove Ownership	1887	END	1606768186084	1606768186144
USER	Prove Ownership	1888	START	1606768186193	1606768186193
REQUEST	1888		Prove Owner	1606768186194	1606768186282	OK	 
USER	Prove Ownership	1888	END	1606768186193	1606768186282
USER	Prove Ownership	1889	START	1606768186304	1606768186304
REQUEST	1889		Prove Owner	1606768186304	1606768186374	OK	 
USER	Prove Ownership	1889	END	1606768186304	1606768186374
USER	Prove Ownership	1890	START	1606768186412	1606768186412
REQUEST	1890		Prove Owner	1606768186413	1606768186480	OK	 
USER	Prove Ownership	1890	END	1606768186412	1606768186480
USER	Prove Ownership	1891	START	1606768186522	1606768186522
REQUEST	1891		Prove Owner	1606768186522	1606768186577	OK	 
USER	Prove Ownership	1891	END	1606768186522	1606768186578
USER	Prove Ownership	1892	START	1606768186642	1606768186642
REQUEST	1892		Prove Owner	1606768186642	1606768186733	OK	 
USER	Prove Ownership	1892	END	1606768186642	1606768186733
USER	Prove Ownership	1893	START	1606768186752	1606768186752
REQUEST	1893		Prove Owner	1606768186752	1606768186849	OK	 
USER	Prove Ownership	1893	END	1606768186752	1606768186849
USER	Prove Ownership	1894	START	1606768186863	1606768186863
REQUEST	1894		Prove Owner	1606768186863	1606768186935	OK	 
USER	Prove Ownership	1894	END	1606768186863	1606768186935
USER	Prove Ownership	1895	START	1606768186972	1606768186972
REQUEST	1895		Prove Owner	1606768186972	1606768187035	OK	 
USER	Prove Ownership	1895	END	1606768186972	1606768187036
USER	Prove Ownership	1896	START	1606768187082	1606768187082
REQUEST	1896		Prove Owner	1606768187082	1606768187167	OK	 
USER	Prove Ownership	1896	END	1606768187082	1606768187168
USER	Prove Ownership	1897	START	1606768187192	1606768187192
REQUEST	1897		Prove Owner	1606768187192	1606768187263	OK	 
USER	Prove Ownership	1897	END	1606768187192	1606768187264
USER	Prove Ownership	1898	START	1606768187302	1606768187302
REQUEST	1898		Prove Owner	1606768187302	1606768187373	OK	 
USER	Prove Ownership	1898	END	1606768187302	1606768187373
USER	Prove Ownership	1899	START	1606768187413	1606768187413
REQUEST	1899		Prove Owner	1606768187413	1606768187475	OK	 
USER	Prove Ownership	1899	END	1606768187413	1606768187475
USER	Prove Ownership	1900	START	1606768187524	1606768187524
REQUEST	1900		Prove Owner	1606768187524	1606768187620	OK	 
USER	Prove Ownership	1900	END	1606768187524	1606768187620
USER	Prove Ownership	1901	START	1606768187642	1606768187642
REQUEST	1901		Prove Owner	1606768187642	1606768187717	OK	 
USER	Prove Ownership	1901	END	1606768187642	1606768187717
USER	Prove Ownership	1902	START	1606768187753	1606768187753
REQUEST	1902		Prove Owner	1606768187753	1606768187815	OK	 
USER	Prove Ownership	1902	END	1606768187753	1606768187815
USER	Prove Ownership	1903	START	1606768187862	1606768187862
REQUEST	1903		Prove Owner	1606768187862	1606768187970	OK	 
USER	Prove Ownership	1903	END	1606768187862	1606768187970
USER	Prove Ownership	1904	START	1606768187972	1606768187972
REQUEST	1904		Prove Owner	1606768187972	1606768188036	OK	 
USER	Prove Ownership	1904	END	1606768187972	1606768188037
USER	Prove Ownership	1905	START	1606768188082	1606768188082
REQUEST	1905		Prove Owner	1606768188082	1606768188130	OK	 
USER	Prove Ownership	1905	END	1606768188082	1606768188130
USER	Prove Ownership	1906	START	1606768188192	1606768188192
REQUEST	1906		Prove Owner	1606768188193	1606768188282	OK	 
USER	Prove Ownership	1906	END	1606768188192	1606768188282
USER	Prove Ownership	1907	START	1606768188302	1606768188302
REQUEST	1907		Prove Owner	1606768188303	1606768188350	OK	 
USER	Prove Ownership	1907	END	1606768188302	1606768188350
USER	Prove Ownership	1908	START	1606768188413	1606768188413
REQUEST	1908		Prove Owner	1606768188413	1606768188463	OK	 
USER	Prove Ownership	1908	END	1606768188413	1606768188464
USER	Prove Ownership	1909	START	1606768188522	1606768188522
REQUEST	1909		Prove Owner	1606768188522	1606768188573	OK	 
USER	Prove Ownership	1909	END	1606768188522	1606768188573
USER	Prove Ownership	1910	START	1606768188642	1606768188642
REQUEST	1910		Prove Owner	1606768188642	1606768188732	OK	 
USER	Prove Ownership	1910	END	1606768188642	1606768188733
USER	Prove Ownership	1911	START	1606768188752	1606768188752
REQUEST	1911		Prove Owner	1606768188753	1606768188820	OK	 
USER	Prove Ownership	1911	END	1606768188752	1606768188821
USER	Prove Ownership	1912	START	1606768188862	1606768188862
REQUEST	1912		Prove Owner	1606768188862	1606768188948	OK	 
USER	Prove Ownership	1912	END	1606768188862	1606768188948
USER	Prove Ownership	1913	START	1606768188972	1606768188972
REQUEST	1913		Prove Owner	1606768188972	1606768189031	OK	 
USER	Prove Ownership	1913	END	1606768188972	1606768189031
USER	Prove Ownership	1914	START	1606768189082	1606768189082
REQUEST	1914		Prove Owner	1606768189082	1606768189147	OK	 
USER	Prove Ownership	1914	END	1606768189082	1606768189147
USER	Prove Ownership	1915	START	1606768189193	1606768189193
REQUEST	1915		Prove Owner	1606768189193	1606768189271	OK	 
USER	Prove Ownership	1915	END	1606768189193	1606768189271
USER	Prove Ownership	1916	START	1606768189301	1606768189301
REQUEST	1916		Prove Owner	1606768189301	1606768189358	OK	 
USER	Prove Ownership	1916	END	1606768189301	1606768189358
USER	Prove Ownership	1917	START	1606768189412	1606768189412
REQUEST	1917		Prove Owner	1606768189412	1606768189482	OK	 
USER	Prove Ownership	1917	END	1606768189412	1606768189482
USER	Prove Ownership	1918	START	1606768189532	1606768189532
REQUEST	1918		Prove Owner	1606768189532	1606768189591	OK	 
USER	Prove Ownership	1918	END	1606768189532	1606768189591
USER	Prove Ownership	1919	START	1606768189642	1606768189642
REQUEST	1919		Prove Owner	1606768189642	1606768189711	OK	 
USER	Prove Ownership	1919	END	1606768189642	1606768189711
USER	Prove Ownership	1920	START	1606768189752	1606768189752
REQUEST	1920		Prove Owner	1606768189752	1606768189804	OK	 
USER	Prove Ownership	1920	END	1606768189752	1606768189805
USER	Prove Ownership	1921	START	1606768189861	1606768189861
REQUEST	1921		Prove Owner	1606768189862	1606768189933	OK	 
USER	Prove Ownership	1921	END	1606768189861	1606768189933
USER	Prove Ownership	1922	START	1606768189971	1606768189971
REQUEST	1922		Prove Owner	1606768189972	1606768190039	OK	 
USER	Prove Ownership	1922	END	1606768189971	1606768190039
USER	Prove Ownership	1923	START	1606768190081	1606768190081
REQUEST	1923		Prove Owner	1606768190082	1606768190138	OK	 
USER	Prove Ownership	1923	END	1606768190081	1606768190138
USER	Prove Ownership	1924	START	1606768190194	1606768190194
REQUEST	1924		Prove Owner	1606768190194	1606768190274	OK	 
USER	Prove Ownership	1924	END	1606768190194	1606768190274
USER	Prove Ownership	1925	START	1606768190302	1606768190302
REQUEST	1925		Prove Owner	1606768190302	1606768190355	OK	 
USER	Prove Ownership	1925	END	1606768190302	1606768190356
USER	Prove Ownership	1926	START	1606768190413	1606768190413
USER	Prove Ownership	1927	START	1606768190522	1606768190522
REQUEST	1926		Prove Owner	1606768190413	1606768190544	OK	 
USER	Prove Ownership	1926	END	1606768190413	1606768190545
USER	Prove Ownership	1928	START	1606768190643	1606768190643
REQUEST	1927		Prove Owner	1606768190522	1606768190747	OK	 
USER	Prove Ownership	1927	END	1606768190522	1606768190748
USER	Prove Ownership	1929	START	1606768190752	1606768190752
USER	Prove Ownership	1930	START	1606768190862	1606768190862
REQUEST	1928		Prove Owner	1606768190643	1606768190918	OK	 
USER	Prove Ownership	1928	END	1606768190643	1606768190918
USER	Prove Ownership	1931	START	1606768190972	1606768190972
REQUEST	1929		Prove Owner	1606768190752	1606768191048	OK	 
USER	Prove Ownership	1929	END	1606768190752	1606768191048
USER	Prove Ownership	1932	START	1606768191081	1606768191081
