RUN	computerdatabase.ProveOwner	proveowner	1588092212095	7 per sec	3.3.1
USER	Prove Ownership	1	START	1588092215052	1588092215052
USER	Prove Ownership	2	START	1588092215198	1588092215198
USER	Prove Ownership	3	START	1588092215338	1588092215338
USER	Prove Ownership	4	START	1588092215480	1588092215480
USER	Prove Ownership	5	START	1588092215628	1588092215628
USER	Prove Ownership	6	START	1588092215768	1588092215768
USER	Prove Ownership	7	START	1588092215908	1588092215908
USER	Prove Ownership	8	START	1588092216049	1588092216049
USER	Prove Ownership	9	START	1588092216197	1588092216197
REQUEST	8		Prove Owner	1588092216050	1588092216277	OK	 
USER	Prove Ownership	8	END	1588092216049	1588092216304
REQUEST	4		Prove Owner	1588092215481	1588092216341	OK	 
USER	Prove Ownership	4	END	1588092215480	1588092216342
USER	Prove Ownership	10	START	1588092216347	1588092216347
REQUEST	1		Prove Owner	1588092215112	1588092216423	OK	 
USER	Prove Ownership	1	END	1588092215052	1588092216424
REQUEST	6		Prove Owner	1588092215769	1588092216462	OK	 
USER	Prove Ownership	6	END	1588092215768	1588092216463
USER	Prove Ownership	11	START	1588092216487	1588092216487
REQUEST	7		Prove Owner	1588092215909	1588092216539	OK	 
USER	Prove Ownership	7	END	1588092215908	1588092216540
REQUEST	3		Prove Owner	1588092215339	1588092216564	OK	 
USER	Prove Ownership	3	END	1588092215338	1588092216565
REQUEST	5		Prove Owner	1588092215629	1588092216628	OK	 
USER	Prove Ownership	5	END	1588092215628	1588092216629
USER	Prove Ownership	12	START	1588092216637	1588092216637
REQUEST	2		Prove Owner	1588092215199	1588092216660	OK	 
USER	Prove Ownership	2	END	1588092215198	1588092216661
REQUEST	9		Prove Owner	1588092216198	1588092216735	OK	 
USER	Prove Ownership	9	END	1588092216197	1588092216736
REQUEST	10		Prove Owner	1588092216348	1588092216764	OK	 
USER	Prove Ownership	10	END	1588092216347	1588092216765
USER	Prove Ownership	13	START	1588092216778	1588092216778
REQUEST	11		Prove Owner	1588092216489	1588092216854	OK	 
USER	Prove Ownership	11	END	1588092216487	1588092216855
REQUEST	12		Prove Owner	1588092216638	1588092216914	OK	 
USER	Prove Ownership	12	END	1588092216637	1588092216915
USER	Prove Ownership	14	START	1588092216917	1588092216917
REQUEST	13		Prove Owner	1588092216779	1588092216948	OK	 
USER	Prove Ownership	13	END	1588092216778	1588092216948
REQUEST	14		Prove Owner	1588092216918	1588092217020	OK	 
USER	Prove Ownership	14	END	1588092216917	1588092217021
USER	Prove Ownership	15	START	1588092217057	1588092217057
REQUEST	15		Prove Owner	1588092217058	1588092217127	OK	 
USER	Prove Ownership	15	END	1588092217057	1588092217128
USER	Prove Ownership	16	START	1588092217200	1588092217200
REQUEST	16		Prove Owner	1588092217200	1588092217257	OK	 
USER	Prove Ownership	16	END	1588092217200	1588092217258
USER	Prove Ownership	17	START	1588092217338	1588092217338
REQUEST	17		Prove Owner	1588092217340	1588092217431	OK	 
USER	Prove Ownership	17	END	1588092217338	1588092217432
USER	Prove Ownership	18	START	1588092217478	1588092217478
REQUEST	18		Prove Owner	1588092217479	1588092217587	OK	 
USER	Prove Ownership	18	END	1588092217478	1588092217588
USER	Prove Ownership	19	START	1588092217618	1588092217618
REQUEST	19		Prove Owner	1588092217619	1588092217710	OK	 
USER	Prove Ownership	19	END	1588092217618	1588092217710
USER	Prove Ownership	20	START	1588092217767	1588092217767
USER	Prove Ownership	21	START	1588092217908	1588092217908
REQUEST	20		Prove Owner	1588092217768	1588092217986	OK	 
USER	Prove Ownership	20	END	1588092217767	1588092217987
USER	Prove Ownership	22	START	1588092218050	1588092218050
REQUEST	21		Prove Owner	1588092217909	1588092218135	OK	 
USER	Prove Ownership	21	END	1588092217908	1588092218136
USER	Prove Ownership	23	START	1588092218200	1588092218200
REQUEST	22		Prove Owner	1588092218051	1588092218258	OK	 
USER	Prove Ownership	22	END	1588092218050	1588092218260
USER	Prove Ownership	24	START	1588092218337	1588092218337
REQUEST	23		Prove Owner	1588092218201	1588092218405	OK	 
USER	Prove Ownership	23	END	1588092218200	1588092218406
USER	Prove Ownership	25	START	1588092218478	1588092218478
REQUEST	24		Prove Owner	1588092218338	1588092218504	OK	 
USER	Prove Ownership	24	END	1588092218337	1588092218506
REQUEST	25		Prove Owner	1588092218479	1588092218603	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Prove Ownership	25	END	1588092218478	1588092218606
USER	Prove Ownership	26	START	1588092218618	1588092218618
REQUEST	26		Prove Owner	1588092218619	1588092218678	OK	 
USER	Prove Ownership	26	END	1588092218618	1588092218678
USER	Prove Ownership	27	START	1588092218769	1588092218769
REQUEST	27		Prove Owner	1588092218770	1588092218830	OK	 
USER	Prove Ownership	27	END	1588092218769	1588092218831
USER	Prove Ownership	28	START	1588092218908	1588092218908
REQUEST	28		Prove Owner	1588092218909	1588092218976	OK	 
USER	Prove Ownership	28	END	1588092218908	1588092218977
USER	Prove Ownership	29	START	1588092219050	1588092219050
REQUEST	29		Prove Owner	1588092219051	1588092219111	OK	 
USER	Prove Ownership	29	END	1588092219050	1588092219112
USER	Prove Ownership	30	START	1588092219200	1588092219200
REQUEST	30		Prove Owner	1588092219201	1588092219261	OK	 
USER	Prove Ownership	30	END	1588092219200	1588092219262
USER	Prove Ownership	31	START	1588092219338	1588092219338
REQUEST	31		Prove Owner	1588092219339	1588092219396	OK	 
USER	Prove Ownership	31	END	1588092219338	1588092219397
USER	Prove Ownership	32	START	1588092219477	1588092219477
REQUEST	32		Prove Owner	1588092219479	1588092219569	OK	 
USER	Prove Ownership	32	END	1588092219477	1588092219570
USER	Prove Ownership	33	START	1588092219618	1588092219618
REQUEST	33		Prove Owner	1588092219619	1588092219673	OK	 
USER	Prove Ownership	33	END	1588092219618	1588092219673
USER	Prove Ownership	34	START	1588092219768	1588092219768
REQUEST	34		Prove Owner	1588092219769	1588092219831	OK	 
USER	Prove Ownership	34	END	1588092219768	1588092219831
USER	Prove Ownership	35	START	1588092219910	1588092219910
