RUN	computerdatabase.ProveOwner	proveowner	1588020005065	3 users per sec	3.3.1
USER	Prove Ownership	160	END	1588020059354	1588020059433
USER	Prove Ownership	161	START	1588020059685	1588020059685
REQUEST	161		Prove Owner	1588020059686	1588020059750	OK	 
USER	Prove Ownership	161	END	1588020059685	1588020059750
USER	Prove Ownership	162	START	1588020060014	1588020060014
REQUEST	162		Prove Owner	1588020060015	1588020060088	OK	 
USER	Prove Ownership	162	END	1588020060014	1588020060089
USER	Prove Ownership	163	START	1588020060354	1588020060354
REQUEST	163		Prove Owner	1588020060355	1588020060414	OK	 
USER	Prove Ownership	163	END	1588020060354	1588020060414
USER	Prove Ownership	164	START	1588020060683	1588020060683
REQUEST	164		Prove Owner	1588020060684	1588020060742	OK	 
USER	Prove Ownership	164	END	1588020060683	1588020060742
USER	Prove Ownership	165	START	1588020061013	1588020061013
REQUEST	165		Prove Owner	1588020061014	1588020061068	OK	 
USER	Prove Ownership	165	END	1588020061013	1588020061069
USER	Prove Ownership	166	START	1588020061354	1588020061354
REQUEST	166		Prove Owner	1588020061355	1588020061424	OK	 
USER	Prove Ownership	166	END	1588020061354	1588020061424
USER	Prove Ownership	167	START	1588020061683	1588020061683
REQUEST	167		Prove Owner	1588020061684	1588020061758	OK	 
USER	Prove Ownership	167	END	1588020061683	1588020061759
USER	Prove Ownership	168	START	1588020062013	1588020062013
REQUEST	168		Prove Owner	1588020062014	1588020062072	OK	 
USER	Prove Ownership	168	END	1588020062013	1588020062073
USER	Prove Ownership	169	START	1588020062353	1588020062353
REQUEST	169		Prove Owner	1588020062354	1588020062417	OK	 
USER	Prove Ownership	169	END	1588020062353	1588020062418
USER	Prove Ownership	170	START	1588020062683	1588020062683
REQUEST	170		Prove Owner	1588020062684	1588020062772	OK	 
USER	Prove Ownership	170	END	1588020062683	1588020062773
USER	Prove Ownership	171	START	1588020063014	1588020063014
REQUEST	171		Prove Owner	1588020063015	1588020063074	OK	 
USER	Prove Ownership	171	END	1588020063014	1588020063074
USER	Prove Ownership	172	START	1588020063354	1588020063354
REQUEST	172		Prove Owner	1588020063355	1588020063413	OK	 
USER	Prove Ownership	172	END	1588020063354	1588020063414
USER	Prove Ownership	173	START	1588020063683	1588020063683
REQUEST	173		Prove Owner	1588020063683	1588020063736	OK	 
USER	Prove Ownership	173	END	1588020063683	1588020063737
USER	Prove Ownership	174	START	1588020064013	1588020064013
REQUEST	174		Prove Owner	1588020064014	1588020064082	OK	 
USER	Prove Ownership	174	END	1588020064013	1588020064083
USER	Prove Ownership	175	START	1588020064354	1588020064354
REQUEST	175		Prove Owner	1588020064355	1588020064417	OK	 
USER	Prove Ownership	175	END	1588020064354	1588020064418
USER	Prove Ownership	176	START	1588020064686	1588020064686
REQUEST	176		Prove Owner	1588020064686	1588020064764	OK	 
USER	Prove Ownership	176	END	1588020064686	1588020064764
USER	Prove Ownership	177	START	1588020065015	1588020065015
REQUEST	177		Prove Owner	1588020065015	1588020065081	OK	 
USER	Prove Ownership	177	END	1588020065015	1588020065082
USER	Prove Ownership	178	START	1588020065355	1588020065355
REQUEST	178		Prove Owner	1588020065355	1588020065425	OK	 
USER	Prove Ownership	178	END	1588020065355	1588020065425
USER	Prove Ownership	179	START	1588020065683	1588020065683
REQUEST	179		Prove Owner	1588020065683	1588020065830	OK	 
USER	Prove Ownership	179	END	1588020065683	1588020065831
USER	Prove Ownership	180	START	1588020066014	1588020066014
REQUEST	180		Prove Owner	1588020066014	1588020066123	OK	 
USER	Prove Ownership	180	END	1588020066014	1588020066124
USER	Prove Ownership	181	START	1588020066353	1588020066353
REQUEST	181		Prove Owner	1588020066354	1588020066417	OK	 
USER	Prove Ownership	181	END	1588020066353	1588020066417
USER	Prove Ownership	182	START	1588020066683	1588020066683
REQUEST	182		Prove Owner	1588020066684	1588020066762	OK	 
USER	Prove Ownership	182	END	1588020066683	1588020066763
USER	Prove Ownership	183	START	1588020067014	1588020067014
REQUEST	183		Prove Owner	1588020067015	1588020067084	OK	 
USER	Prove Ownership	183	END	1588020067014	1588020067085
USER	Prove Ownership	184	START	1588020067354	1588020067354
REQUEST	184		Prove Owner	1588020067355	1588020067425	OK	 
USER	Prove Ownership	184	END	1588020067354	1588020067426
USER	Prove Ownership	185	START	1588020067685	1588020067685
REQUEST	185		Prove Owner	1588020067686	1588020067775	OK	 
USER	Prove Ownership	185	END	1588020067685	1588020067776
USER	Prove Ownership	186	START	1588020068013	1588020068013
REQUEST	186		Prove Owner	1588020068014	1588020068081	OK	 
USER	Prove Ownership	186	END	1588020068013	1588020068081
USER	Prove Ownership	187	START	1588020068353	1588020068353
REQUEST	187		Prove Owner	1588020068354	1588020068416	OK	 
USER	Prove Ownership	187	END	1588020068353	1588020068417
USER	Prove Ownership	188	START	1588020068683	1588020068683
REQUEST	188		Prove Owner	1588020068684	1588020068760	OK	 
USER	Prove Ownership	188	END	1588020068683	1588020068761
USER	Prove Ownership	189	START	1588020069013	1588020069013
REQUEST	189		Prove Owner	1588020069013	1588020069081	OK	 
USER	Prove Ownership	189	END	1588020069013	1588020069082
USER	Prove Ownership	190	START	1588020069354	1588020069354
REQUEST	190		Prove Owner	1588020069354	1588020069434	OK	 
USER	Prove Ownership	190	END	1588020069354	1588020069435
USER	Prove Ownership	191	START	1588020069684	1588020069684
REQUEST	191		Prove Owner	1588020069684	1588020069777	OK	 
USER	Prove Ownership	191	END	1588020069684	1588020069777
USER	Prove Ownership	192	START	1588020070014	1588020070014
REQUEST	192		Prove Owner	1588020070015	1588020070116	OK	 
USER	Prove Ownership	192	END	1588020070014	1588020070117
USER	Prove Ownership	193	START	1588020070353	1588020070353
REQUEST	193		Prove Owner	1588020070354	1588020070446	OK	 
USER	Prove Ownership	193	END	1588020070353	1588020070447
USER	Prove Ownership	194	START	1588020070684	1588020070684
REQUEST	194		Prove Owner	1588020070685	1588020070750	OK	 
USER	Prove Ownership	194	END	1588020070684	1588020070751
USER	Prove Ownership	195	START	1588020071015	1588020071015
USER	Prove Ownership	196	START	1588020071353	1588020071353
REQUEST	196		Prove Owner	1588020071355	1588020071415	OK	 
USER	Prove Ownership	196	END	1588020071353	1588020071415
USER	Prove Ownership	197	START	1588020071683	1588020071683
REQUEST	197		Prove Owner	1588020071683	1588020071738	OK	 
USER	Prove Ownership	197	END	1588020071683	1588020071739
REQUEST	195		Prove Owner	1588020071016	1588020071777	OK	 
USER	Prove Ownership	195	END	1588020071015	1588020071778
USER	Prove Ownership	198	START	1588020072013	1588020072013
REQUEST	198		Prove Owner	1588020072014	1588020072086	OK	 
USER	Prove Ownership	198	END	1588020072013	1588020072087
USER	Prove Ownership	199	START	1588020072354	1588020072354
REQUEST	199		Prove Owner	1588020072355	1588020072439	OK	 
USER	Prove Ownership	199	END	1588020072354	1588020072439
USER	Prove Ownership	200	START	1588020072684	1588020072684
REQUEST	200		Prove Owner	1588020072685	1588020072783	OK	 
USER	Prove Ownership	200	END	1588020072684	1588020072783
USER	Prove Ownership	201	START	1588020073014	1588020073014
REQUEST	201		Prove Owner	1588020073015	1588020073088	OK	 
USER	Prove Ownership	201	END	1588020073014	1588020073088
USER	Prove Ownership	202	START	1588020073353	1588020073353
REQUEST	202		Prove Owner	1588020073354	1588020073436	OK	 
USER	Prove Ownership	202	END	1588020073353	1588020073437
USER	Prove Ownership	203	START	1588020073683	1588020073683
REQUEST	203		Prove Owner	1588020073684	1588020073743	OK	 
USER	Prove Ownership	203	END	1588020073683	1588020073744
USER	Prove Ownership	204	START	1588020074014	1588020074014
REQUEST	204		Prove Owner	1588020074014	1588020074077	OK	 
USER	Prove Ownership	204	END	1588020074014	1588020074077
USER	Prove Ownership	205	START	1588020074353	1588020074353
REQUEST	205		Prove Owner	1588020074354	1588020074435	OK	 
USER	Prove Ownership	205	END	1588020074353	1588020074436
USER	Prove Ownership	206	START	1588020074684	1588020074684
REQUEST	206		Prove Owner	1588020074685	1588020074741	OK	 
USER	Prove Ownership	206	END	1588020074684	1588020074742
USER	Prove Ownership	207	START	1588020075013	1588020075013
REQUEST	207		Prove Owner	1588020075016	1588020075098	OK	 
USER	Prove Ownership	207	END	1588020075013	1588020075099
USER	Prove Ownership	208	START	1588020075353	1588020075353
REQUEST	208		Prove Owner	1588020075354	1588020075418	OK	 
USER	Prove Ownership	208	END	1588020075353	1588020075419
USER	Prove Ownership	209	START	1588020075683	1588020075683
REQUEST	209		Prove Owner	1588020075684	1588020075826	OK	 
USER	Prove Ownership	209	END	1588020075683	1588020075827
USER	Prove Ownership	210	START	1588020076014	1588020076014
REQUEST	210		Prove Owner	1588020076016	1588020076199	OK	 
USER	Prove Ownership	210	END	1588020076014	1588020076200
USER	Prove Ownership	211	START	1588020076353	1588020076353
REQUEST	211		Prove Owner	1588020076354	1588020076424	OK	 
USER	Prove Ownership	211	END	1588020076353	1588020076425
USER	Prove Ownership	212	START	1588020076683	1588020076683
REQUEST	212		Prove Owner	1588020076684	1588020076734	OK	 
USER	Prove Ownership	212	END	1588020076683	1588020076734
USER	Prove Ownership	213	START	1588020077014	1588020077014
REQUEST	213		Prove Owner	1588020077016	1588020077094	OK	 
USER	Prove Ownership	213	END	1588020077014	1588020077095
USER	Prove Ownership	214	START	1588020077355	1588020077355
REQUEST	214		Prove Owner	1588020077356	1588020077425	OK	 
USER	Prove Ownership	214	END	1588020077355	1588020077426
USER	Prove Ownership	215	START	1588020077683	1588020077683
REQUEST	215		Prove Owner	1588020077684	1588020077770	OK	 
USER	Prove Ownership	215	END	1588020077683	1588020077771
USER	Prove Ownership	216	START	1588020078013	1588020078013
REQUEST	216		Prove Owner	1588020078013	1588020078089	OK	 
USER	Prove Ownership	216	END	1588020078013	1588020078090
USER	Prove Ownership	217	START	1588020078353	1588020078353
REQUEST	217		Prove Owner	1588020078354	1588020078429	OK	 
USER	Prove Ownership	217	END	1588020078353	1588020078429
USER	Prove Ownership	218	START	1588020078685	1588020078685
REQUEST	218		Prove Owner	1588020078686	1588020078763	OK	 
USER	Prove Ownership	218	END	1588020078685	1588020078764
USER	Prove Ownership	219	START	1588020079013	1588020079013
REQUEST	219		Prove Owner	1588020079013	1588020079099	OK	 
USER	Prove Ownership	219	END	1588020079013	1588020079100
USER	Prove Ownership	220	START	1588020079354	1588020079354
REQUEST	220		Prove Owner	1588020079355	1588020079444	OK	 
USER	Prove Ownership	220	END	1588020079354	1588020079445
USER	Prove Ownership	221	START	1588020079684	1588020079684
REQUEST	221		Prove Owner	1588020079685	1588020079742	OK	 
USER	Prove Ownership	221	END	1588020079684	1588020079742
USER	Prove Ownership	222	START	1588020080014	1588020080014
REQUEST	222		Prove Owner	1588020080015	1588020080159	OK	 
USER	Prove Ownership	222	END	1588020080014	1588020080160
USER	Prove Ownership	223	START	1588020080353	1588020080353
REQUEST	223		Prove Owner	1588020080354	1588020080417	OK	 
USER	Prove Ownership	223	END	1588020080353	1588020080418
USER	Prove Ownership	224	START	1588020080685	1588020080685
REQUEST	224		Prove Owner	1588020080686	1588020080734	OK	 
USER	Prove Ownership	224	END	1588020080685	1588020080735
USER	Prove Ownership	225	START	1588020081013	1588020081013
REQUEST	225		Prove Owner	1588020081013	1588020081081	OK	 
USER	Prove Ownership	225	END	1588020081013	1588020081081
USER	Prove Ownership	226	START	1588020081353	1588020081353
REQUEST	226		Prove Owner	1588020081354	1588020081413	OK	 
USER	Prove Ownership	226	END	1588020081353	1588020081413
USER	Prove Ownership	227	START	1588020081685	1588020081685
REQUEST	227		Prove Owner	1588020081685	1588020081744	OK	 
USER	Prove Ownership	227	END	1588020081685	1588020081744
USER	Prove Ownership	228	START	1588020082013	1588020082013
REQUEST	228		Prove Owner	1588020082014	1588020082079	OK	 
USER	Prove Ownership	228	END	1588020082013	1588020082079
USER	Prove Ownership	229	START	1588020082353	1588020082353
REQUEST	229		Prove Owner	1588020082354	1588020082411	OK	 
USER	Prove Ownership	229	END	1588020082353	1588020082411
USER	Prove Ownership	230	START	1588020082683	1588020082683
REQUEST	230		Prove Owner	1588020082685	1588020082750	OK	 
USER	Prove Ownership	230	END	1588020082683	1588020082751
USER	Prove Ownership	231	START	1588020083014	1588020083014
REQUEST	231		Prove Owner	1588020083015	1588020083087	OK	 
USER	Prove Ownership	231	END	1588020083014	1588020083087
USER	Prove Ownership	232	START	1588020083354	1588020083354
REQUEST	232		Prove Owner	1588020083354	1588020083426	OK	 
USER	Prove Ownership	232	END	1588020083354	1588020083427
USER	Prove Ownership	233	START	1588020083685	1588020083685
REQUEST	233		Prove Owner	1588020083686	1588020083742	OK	 
USER	Prove Ownership	233	END	1588020083685	1588020083743
USER	Prove Ownership	234	START	1588020084013	1588020084013
REQUEST	234		Prove Owner	1588020084014	1588020084096	OK	 
USER	Prove Ownership	234	END	1588020084013	1588020084097
USER	Prove Ownership	235	START	1588020084354	1588020084354
REQUEST	235		Prove Owner	1588020084355	1588020084418	OK	 
USER	Prove Ownership	235	END	1588020084354	1588020084419
USER	Prove Ownership	236	START	1588020084683	1588020084683
REQUEST	236		Prove Owner	1588020084684	1588020084749	OK	 
USER	Prove Ownership	236	END	1588020084683	1588020084749
USER	Prove Ownership	237	START	1588020085014	1588020085014
REQUEST	237		Prove Owner	1588020085014	1588020085089	OK	 
USER	Prove Ownership	237	END	1588020085014	1588020085089
USER	Prove Ownership	238	START	1588020085354	1588020085354
REQUEST	238		Prove Owner	1588020085354	1588020085416	OK	 
USER	Prove Ownership	238	END	1588020085354	1588020085416
USER	Prove Ownership	239	START	1588020085683	1588020085683
REQUEST	239		Prove Owner	1588020085684	1588020085873	OK	 
USER	Prove Ownership	239	END	1588020085683	1588020085874
USER	Prove Ownership	240	START	1588020086013	1588020086013
REQUEST	240		Prove Owner	1588020086014	1588020086163	OK	 
USER	Prove Ownership	240	END	1588020086013	1588020086164
USER	Prove Ownership	241	START	1588020086355	1588020086355
REQUEST	241		Prove Owner	1588020086356	1588020086417	OK	 
USER	Prove Ownership	241	END	1588020086355	1588020086418
USER	Prove Ownership	242	START	1588020086684	1588020086684
REQUEST	242		Prove Owner	1588020086685	1588020086745	OK	 
USER	Prove Ownership	242	END	1588020086684	1588020086745
USER	Prove Ownership	243	START	1588020087013	1588020087013
REQUEST	243		Prove Owner	1588020087013	1588020087112	OK	 
USER	Prove Ownership	243	END	1588020087013	1588020087112
USER	Prove Ownership	244	START	1588020087353	1588020087353
REQUEST	244		Prove Owner	1588020087354	1588020087417	OK	 
USER	Prove Ownership	244	END	1588020087353	1588020087418
USER	Prove Ownership	245	START	1588020087684	1588020087684
REQUEST	245		Prove Owner	1588020087685	1588020087785	OK	 
USER	Prove Ownership	245	END	1588020087684	1588020087786
USER	Prove Ownership	246	START	1588020088015	1588020088015
REQUEST	246		Prove Owner	1588020088015	1588020088113	OK	 
USER	Prove Ownership	246	END	1588020088015	1588020088113
USER	Prove Ownership	247	START	1588020088354	1588020088354
REQUEST	247		Prove Owner	1588020088355	1588020088419	OK	 
USER	Prove Ownership	247	END	1588020088354	1588020088420
USER	Prove Ownership	248	START	1588020088684	1588020088684
USER	Prove Ownership	249	START	1588020089013	1588020089013
REQUEST	249		Prove Owner	1588020089014	1588020089110	OK	 
USER	Prove Ownership	249	END	1588020089013	1588020089110
USER	Prove Ownership	250	START	1588020089355	1588020089355
REQUEST	250		Prove Owner	1588020089355	1588020089425	OK	 
USER	Prove Ownership	250	END	1588020089355	1588020089426
REQUEST	248		Prove Owner	1588020088686	1588020089440	OK	 
USER	Prove Ownership	248	END	1588020088684	1588020089440
USER	Prove Ownership	251	START	1588020089685	1588020089685
REQUEST	251		Prove Owner	1588020089686	1588020089738	OK	 
USER	Prove Ownership	251	END	1588020089685	1588020089738
USER	Prove Ownership	252	START	1588020090014	1588020090014
REQUEST	252		Prove Owner	1588020090015	1588020090130	OK	 
USER	Prove Ownership	252	END	1588020090014	1588020090131
USER	Prove Ownership	253	START	1588020090353	1588020090353
REQUEST	253		Prove Owner	1588020090354	1588020090408	OK	 
USER	Prove Ownership	253	END	1588020090353	1588020090409
USER	Prove Ownership	254	START	1588020090685	1588020090685
REQUEST	254		Prove Owner	1588020090686	1588020090738	OK	 
USER	Prove Ownership	254	END	1588020090685	1588020090739
USER	Prove Ownership	255	START	1588020091014	1588020091014
REQUEST	255		Prove Owner	1588020091015	1588020091133	OK	 
USER	Prove Ownership	255	END	1588020091014	1588020091134
USER	Prove Ownership	256	START	1588020091355	1588020091355
REQUEST	256		Prove Owner	1588020091357	1588020091426	OK	 
USER	Prove Ownership	256	END	1588020091355	1588020091427
USER	Prove Ownership	257	START	1588020091684	1588020091684
REQUEST	257		Prove Owner	1588020091684	1588020091740	OK	 
USER	Prove Ownership	257	END	1588020091684	1588020091741
USER	Prove Ownership	258	START	1588020092013	1588020092013
REQUEST	258		Prove Owner	1588020092014	1588020092090	OK	 
USER	Prove Ownership	258	END	1588020092013	1588020092091
USER	Prove Ownership	259	START	1588020092353	1588020092353
REQUEST	259		Prove Owner	1588020092354	1588020092432	OK	 
USER	Prove Ownership	259	END	1588020092353	1588020092433
USER	Prove Ownership	260	START	1588020092684	1588020092684
REQUEST	260		Prove Owner	1588020092685	1588020092780	OK	 
USER	Prove Ownership	260	END	1588020092684	1588020092781
USER	Prove Ownership	261	START	1588020093014	1588020093014
REQUEST	261		Prove Owner	1588020093014	1588020093084	OK	 
USER	Prove Ownership	261	END	1588020093014	1588020093084
USER	Prove Ownership	262	START	1588020093355	1588020093355
REQUEST	262		Prove Owner	1588020093356	1588020093426	OK	 
USER	Prove Ownership	262	END	1588020093355	1588020093426
USER	Prove Ownership	263	START	1588020093685	1588020093685
REQUEST	263		Prove Owner	1588020093686	1588020093737	OK	 
USER	Prove Ownership	263	END	1588020093685	1588020093738
USER	Prove Ownership	264	START	1588020094014	1588020094014
REQUEST	264		Prove Owner	1588020094015	1588020094083	OK	 
USER	Prove Ownership	264	END	1588020094014	1588020094084
USER	Prove Ownership	265	START	1588020094354	1588020094354
REQUEST	265		Prove Owner	1588020094355	1588020094423	OK	 
USER	Prove Ownership	265	END	1588020094354	1588020094424
USER	Prove Ownership	266	START	1588020094683	1588020094683
REQUEST	266		Prove Owner	1588020094684	1588020094746	OK	 
USER	Prove Ownership	266	END	1588020094683	1588020094747
USER	Prove Ownership	267	START	1588020095013	1588020095013
REQUEST	267		Prove Owner	1588020095014	1588020095078	OK	 
USER	Prove Ownership	267	END	1588020095013	1588020095078
USER	Prove Ownership	268	START	1588020095354	1588020095354
REQUEST	268		Prove Owner	1588020095354	1588020095408	OK	 
USER	Prove Ownership	268	END	1588020095354	1588020095408
USER	Prove Ownership	269	START	1588020095684	1588020095684
REQUEST	269		Prove Owner	1588020095684	1588020095809	OK	 
USER	Prove Ownership	269	END	1588020095684	1588020095809
USER	Prove Ownership	270	START	1588020096013	1588020096013
REQUEST	270		Prove Owner	1588020096013	1588020096106	OK	 
USER	Prove Ownership	270	END	1588020096013	1588020096106
USER	Prove Ownership	271	START	1588020096354	1588020096354
REQUEST	271		Prove Owner	1588020096355	1588020096418	OK	 
USER	Prove Ownership	271	END	1588020096354	1588020096418
USER	Prove Ownership	272	START	1588020096684	1588020096684
REQUEST	272		Prove Owner	1588020096685	1588020096739	OK	 
USER	Prove Ownership	272	END	1588020096684	1588020096739
USER	Prove Ownership	273	START	1588020097015	1588020097015
REQUEST	273		Prove Owner	1588020097016	1588020097070	OK	 
USER	Prove Ownership	273	END	1588020097015	1588020097070
USER	Prove Ownership	274	START	1588020097355	1588020097355
REQUEST	274		Prove Owner	1588020097356	1588020097419	OK	 
USER	Prove Ownership	274	END	1588020097355	1588020097419
USER	Prove Ownership	275	START	1588020097683	1588020097683
REQUEST	275		Prove Owner	1588020097684	1588020097766	OK	 
USER	Prove Ownership	275	END	1588020097683	1588020097767
USER	Prove Ownership	276	START	1588020098014	1588020098014
REQUEST	276		Prove Owner	1588020098014	1588020098066	OK	 
USER	Prove Ownership	276	END	1588020098014	1588020098066
USER	Prove Ownership	277	START	1588020098354	1588020098354
REQUEST	277		Prove Owner	1588020098355	1588020098410	OK	 
USER	Prove Ownership	277	END	1588020098354	1588020098411
USER	Prove Ownership	278	START	1588020098684	1588020098684
REQUEST	278		Prove Owner	1588020098684	1588020098766	OK	 
USER	Prove Ownership	278	END	1588020098684	1588020098767
USER	Prove Ownership	279	START	1588020099015	1588020099015
REQUEST	279		Prove Owner	1588020099015	1588020099075	OK	 
USER	Prove Ownership	279	END	1588020099015	1588020099075
USER	Prove Ownership	280	START	1588020099353	1588020099353
REQUEST	280		Prove Owner	1588020099354	1588020099421	OK	 
USER	Prove Ownership	280	END	1588020099353	1588020099422
USER	Prove Ownership	281	START	1588020099683	1588020099683
REQUEST	281		Prove Owner	1588020099684	1588020099755	OK	 
USER	Prove Ownership	281	END	1588020099683	1588020099756
USER	Prove Ownership	282	START	1588020100015	1588020100015
REQUEST	282		Prove Owner	1588020100016	1588020100075	OK	 
USER	Prove Ownership	282	END	1588020100015	1588020100075
USER	Prove Ownership	283	START	1588020100354	1588020100354
REQUEST	283		Prove Owner	1588020100354	1588020100400	OK	 
USER	Prove Ownership	283	END	1588020100354	1588020100401
USER	Prove Ownership	284	START	1588020100684	1588020100684
REQUEST	284		Prove Owner	1588020100685	1588020100761	OK	 
USER	Prove Ownership	284	END	1588020100684	1588020100762
USER	Prove Ownership	285	START	1588020101013	1588020101013
REQUEST	285		Prove Owner	1588020101013	1588020101094	OK	 
USER	Prove Ownership	285	END	1588020101013	1588020101094
USER	Prove Ownership	286	START	1588020101354	1588020101354
REQUEST	286		Prove Owner	1588020101354	1588020101417	OK	 
USER	Prove Ownership	286	END	1588020101354	1588020101418
USER	Prove Ownership	287	START	1588020101683	1588020101683
REQUEST	287		Prove Owner	1588020101684	1588020101744	OK	 
USER	Prove Ownership	287	END	1588020101683	1588020101744
USER	Prove Ownership	288	START	1588020102013	1588020102013
REQUEST	288		Prove Owner	1588020102013	1588020102100	OK	 
USER	Prove Ownership	288	END	1588020102013	1588020102101
USER	Prove Ownership	289	START	1588020102356	1588020102356
REQUEST	289		Prove Owner	1588020102357	1588020102419	OK	 
USER	Prove Ownership	289	END	1588020102356	1588020102420
USER	Prove Ownership	290	START	1588020102685	1588020102685
REQUEST	290		Prove Owner	1588020102686	1588020102786	OK	 
USER	Prove Ownership	290	END	1588020102685	1588020102787
USER	Prove Ownership	291	START	1588020103014	1588020103014
REQUEST	291		Prove Owner	1588020103014	1588020103078	OK	 
USER	Prove Ownership	291	END	1588020103014	1588020103079
USER	Prove Ownership	292	START	1588020103353	1588020103353
REQUEST	292		Prove Owner	1588020103353	1588020103421	OK	 
USER	Prove Ownership	292	END	1588020103353	1588020103421
USER	Prove Ownership	293	START	1588020103683	1588020103683
REQUEST	293		Prove Owner	1588020103685	1588020103757	OK	 
USER	Prove Ownership	293	END	1588020103683	1588020103758
USER	Prove Ownership	294	START	1588020104014	1588020104014
REQUEST	294		Prove Owner	1588020104014	1588020104078	OK	 
USER	Prove Ownership	294	END	1588020104014	1588020104078
USER	Prove Ownership	295	START	1588020104354	1588020104354
REQUEST	295		Prove Owner	1588020104354	1588020104438	OK	 
USER	Prove Ownership	295	END	1588020104354	1588020104438
USER	Prove Ownership	296	START	1588020104683	1588020104683
REQUEST	296		Prove Owner	1588020104685	1588020104763	OK	 
USER	Prove Ownership	296	END	1588020104683	1588020104763
USER	Prove Ownership	297	START	1588020105013	1588020105013
REQUEST	297		Prove Owner	1588020105013	1588020105083	OK	 
USER	Prove Ownership	297	END	1588020105013	1588020105083
USER	Prove Ownership	298	START	1588020105353	1588020105353
REQUEST	298		Prove Owner	1588020105354	1588020105471	OK	 
USER	Prove Ownership	298	END	1588020105353	1588020105472
USER	Prove Ownership	299	START	1588020105684	1588020105684
REQUEST	299		Prove Owner	1588020105686	1588020105869	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 500
USER	Prove Ownership	299	END	1588020105684	1588020105870
USER	Prove Ownership	300	START	1588020106013	1588020106013
REQUEST	300		Prove Owner	1588020106014	1588020106217	OK	 
USER	Prove Ownership	300	END	1588020106013	1588020106218
USER	Prove Ownership	301	START	1588020106354	1588020106354
REQUEST	301		Prove Owner	1588020106355	1588020106430	OK	 
USER	Prove Ownership	301	END	1588020106354	1588020106431
USER	Prove Ownership	302	START	1588020106683	1588020106683
REQUEST	302		Prove Owner	1588020106684	1588020106751	OK	 
USER	Prove Ownership	302	END	1588020106683	1588020106752
USER	Prove Ownership	303	START	1588020107014	1588020107014
REQUEST	303		Prove Owner	1588020107015	1588020107087	OK	 
USER	Prove Ownership	303	END	1588020107014	1588020107088
USER	Prove Ownership	304	START	1588020107353	1588020107353
REQUEST	304		Prove Owner	1588020107354	1588020107420	OK	 
USER	Prove Ownership	304	END	1588020107353	1588020107421
USER	Prove Ownership	305	START	1588020107684	1588020107684
REQUEST	305		Prove Owner	1588020107685	1588020107794	OK	 
USER	Prove Ownership	305	END	1588020107684	1588020107795
USER	Prove Ownership	306	START	1588020108015	1588020108015
REQUEST	306		Prove Owner	1588020108015	1588020108083	OK	 
USER	Prove Ownership	306	END	1588020108015	1588020108083
USER	Prove Ownership	307	START	1588020108355	1588020108355
REQUEST	307		Prove Owner	1588020108356	1588020108408	OK	 
USER	Prove Ownership	307	END	1588020108355	1588020108408
USER	Prove Ownership	308	START	1588020108684	1588020108684
REQUEST	308		Prove Owner	1588020108685	1588020108784	OK	 
USER	Prove Ownership	308	END	1588020108684	1588020108785
USER	Prove Ownership	309	START	1588020109014	1588020109014
REQUEST	309		Prove Owner	1588020109015	1588020109079	OK	 
USER	Prove Ownership	309	END	1588020109014	1588020109079
USER	Prove Ownership	310	START	1588020109355	1588020109355
REQUEST	310		Prove Owner	1588020109356	1588020109419	OK	 
USER	Prove Ownership	310	END	1588020109355	1588020109419
USER	Prove Ownership	311	START	1588020109684	1588020109684
REQUEST	311		Prove Owner	1588020109685	1588020109777	OK	 
USER	Prove Ownership	311	END	1588020109684	1588020109778
USER	Prove Ownership	312	START	1588020110015	1588020110015
REQUEST	312		Prove Owner	1588020110015	1588020110077	OK	 
USER	Prove Ownership	312	END	1588020110015	1588020110077
USER	Prove Ownership	313	START	1588020110353	1588020110353
REQUEST	313		Prove Owner	1588020110353	1588020110414	OK	 
USER	Prove Ownership	313	END	1588020110353	1588020110414
USER	Prove Ownership	314	START	1588020110685	1588020110685
REQUEST	314		Prove Owner	1588020110686	1588020110783	OK	 
USER	Prove Ownership	314	END	1588020110685	1588020110783
USER	Prove Ownership	315	START	1588020111013	1588020111013
REQUEST	315		Prove Owner	1588020111014	1588020111062	OK	 
USER	Prove Ownership	315	END	1588020111013	1588020111062
USER	Prove Ownership	316	START	1588020111354	1588020111354
REQUEST	316		Prove Owner	1588020111355	1588020111420	OK	 
USER	Prove Ownership	316	END	1588020111354	1588020111421
USER	Prove Ownership	317	START	1588020111685	1588020111685
REQUEST	317		Prove Owner	1588020111685	1588020111768	OK	 
USER	Prove Ownership	317	END	1588020111685	1588020111769
USER	Prove Ownership	318	START	1588020112014	1588020112014
REQUEST	318		Prove Owner	1588020112015	1588020112085	OK	 
USER	Prove Ownership	318	END	1588020112014	1588020112085
USER	Prove Ownership	319	START	1588020112353	1588020112353
REQUEST	319		Prove Owner	1588020112354	1588020112426	OK	 
USER	Prove Ownership	319	END	1588020112353	1588020112426
USER	Prove Ownership	320	START	1588020112683	1588020112683
REQUEST	320		Prove Owner	1588020112685	1588020112802	OK	 
USER	Prove Ownership	320	END	1588020112683	1588020112803
USER	Prove Ownership	321	START	1588020113013	1588020113013
REQUEST	321		Prove Owner	1588020113014	1588020113078	OK	 
USER	Prove Ownership	321	END	1588020113013	1588020113078
USER	Prove Ownership	322	START	1588020113355	1588020113355
