RUN	computerdatabase.ProveOwner	proveowner	1588020005065	3 users per sec	3.3.1
USER	Prove Ownership	37	END	1588020018354	1588020018420
USER	Prove Ownership	38	START	1588020018684	1588020018684
REQUEST	38		Prove Owner	1588020018685	1588020018790	OK	 
USER	Prove Ownership	38	END	1588020018684	1588020018791
USER	Prove Ownership	39	START	1588020019015	1588020019015
REQUEST	39		Prove Owner	1588020019016	1588020019083	OK	 
USER	Prove Ownership	39	END	1588020019015	1588020019084
USER	Prove Ownership	40	START	1588020019354	1588020019354
REQUEST	40		Prove Owner	1588020019355	1588020019407	OK	 
USER	Prove Ownership	40	END	1588020019354	1588020019408
USER	Prove Ownership	41	START	1588020019684	1588020019684
REQUEST	41		Prove Owner	1588020019685	1588020019769	OK	 
USER	Prove Ownership	41	END	1588020019684	1588020019769
USER	Prove Ownership	42	START	1588020020014	1588020020014
REQUEST	42		Prove Owner	1588020020015	1588020020076	OK	 
USER	Prove Ownership	42	END	1588020020014	1588020020076
USER	Prove Ownership	43	START	1588020020353	1588020020353
REQUEST	43		Prove Owner	1588020020354	1588020020465	OK	 
USER	Prove Ownership	43	END	1588020020353	1588020020466
USER	Prove Ownership	44	START	1588020020684	1588020020684
REQUEST	44		Prove Owner	1588020020685	1588020020779	OK	 
USER	Prove Ownership	44	END	1588020020684	1588020020779
USER	Prove Ownership	45	START	1588020021014	1588020021014
REQUEST	45		Prove Owner	1588020021015	1588020021071	OK	 
USER	Prove Ownership	45	END	1588020021014	1588020021072
USER	Prove Ownership	46	START	1588020021354	1588020021354
REQUEST	46		Prove Owner	1588020021356	1588020021428	OK	 
USER	Prove Ownership	46	END	1588020021354	1588020021428
USER	Prove Ownership	47	START	1588020021683	1588020021683
REQUEST	47		Prove Owner	1588020021683	1588020021755	OK	 
USER	Prove Ownership	47	END	1588020021683	1588020021755
USER	Prove Ownership	48	START	1588020022013	1588020022013
REQUEST	48		Prove Owner	1588020022014	1588020022076	OK	 
USER	Prove Ownership	48	END	1588020022013	1588020022076
USER	Prove Ownership	49	START	1588020022353	1588020022353
REQUEST	49		Prove Owner	1588020022355	1588020022425	OK	 
USER	Prove Ownership	49	END	1588020022353	1588020022426
USER	Prove Ownership	50	START	1588020022683	1588020022683
REQUEST	50		Prove Owner	1588020022685	1588020022810	OK	 
USER	Prove Ownership	50	END	1588020022683	1588020022811
USER	Prove Ownership	51	START	1588020023015	1588020023015
REQUEST	51		Prove Owner	1588020023016	1588020023082	OK	 
USER	Prove Ownership	51	END	1588020023015	1588020023083
USER	Prove Ownership	52	START	1588020023355	1588020023355
REQUEST	52		Prove Owner	1588020023356	1588020023428	OK	 
USER	Prove Ownership	52	END	1588020023355	1588020023428
USER	Prove Ownership	53	START	1588020023684	1588020023684
REQUEST	53		Prove Owner	1588020023686	1588020023772	OK	 
USER	Prove Ownership	53	END	1588020023684	1588020023772
USER	Prove Ownership	54	START	1588020024013	1588020024013
REQUEST	54		Prove Owner	1588020024015	1588020024077	OK	 
USER	Prove Ownership	54	END	1588020024013	1588020024078
USER	Prove Ownership	55	START	1588020024353	1588020024353
REQUEST	55		Prove Owner	1588020024355	1588020024419	OK	 
USER	Prove Ownership	55	END	1588020024353	1588020024419
USER	Prove Ownership	56	START	1588020024684	1588020024684
REQUEST	56		Prove Owner	1588020024686	1588020024775	OK	 
USER	Prove Ownership	56	END	1588020024684	1588020024776
USER	Prove Ownership	57	START	1588020025014	1588020025014
REQUEST	57		Prove Owner	1588020025016	1588020025085	OK	 
USER	Prove Ownership	57	END	1588020025014	1588020025086
USER	Prove Ownership	58	START	1588020025354	1588020025354
REQUEST	58		Prove Owner	1588020025355	1588020025419	OK	 
USER	Prove Ownership	58	END	1588020025354	1588020025420
USER	Prove Ownership	59	START	1588020025683	1588020025683
REQUEST	59		Prove Owner	1588020025684	1588020025900	OK	 
USER	Prove Ownership	59	END	1588020025683	1588020025901
USER	Prove Ownership	60	START	1588020026013	1588020026013
REQUEST	60		Prove Owner	1588020026014	1588020026165	OK	 
USER	Prove Ownership	60	END	1588020026013	1588020026165
USER	Prove Ownership	61	START	1588020026355	1588020026355
REQUEST	61		Prove Owner	1588020026356	1588020026419	OK	 
USER	Prove Ownership	61	END	1588020026355	1588020026420
USER	Prove Ownership	62	START	1588020026683	1588020026683
REQUEST	62		Prove Owner	1588020026684	1588020026738	OK	 
USER	Prove Ownership	62	END	1588020026683	1588020026738
USER	Prove Ownership	63	START	1588020027013	1588020027013
REQUEST	63		Prove Owner	1588020027014	1588020027073	OK	 
USER	Prove Ownership	63	END	1588020027013	1588020027074
USER	Prove Ownership	64	START	1588020027354	1588020027354
REQUEST	64		Prove Owner	1588020027356	1588020027420	OK	 
USER	Prove Ownership	64	END	1588020027354	1588020027421
USER	Prove Ownership	65	START	1588020027684	1588020027684
REQUEST	65		Prove Owner	1588020027687	1588020027789	OK	 
USER	Prove Ownership	65	END	1588020027684	1588020027790
USER	Prove Ownership	66	START	1588020028013	1588020028013
REQUEST	66		Prove Owner	1588020028014	1588020028084	OK	 
USER	Prove Ownership	66	END	1588020028013	1588020028084
USER	Prove Ownership	67	START	1588020028355	1588020028355
REQUEST	67		Prove Owner	1588020028356	1588020028419	OK	 
USER	Prove Ownership	67	END	1588020028355	1588020028420
USER	Prove Ownership	68	START	1588020028684	1588020028684
REQUEST	68		Prove Owner	1588020028686	1588020028757	OK	 
USER	Prove Ownership	68	END	1588020028684	1588020028758
USER	Prove Ownership	69	START	1588020029015	1588020029015
REQUEST	69		Prove Owner	1588020029017	1588020029091	OK	 
USER	Prove Ownership	69	END	1588020029015	1588020029092
USER	Prove Ownership	70	START	1588020029353	1588020029353
REQUEST	70		Prove Owner	1588020029354	1588020029425	OK	 
USER	Prove Ownership	70	END	1588020029353	1588020029425
USER	Prove Ownership	71	START	1588020029685	1588020029685
REQUEST	71		Prove Owner	1588020029686	1588020029758	OK	 
USER	Prove Ownership	71	END	1588020029685	1588020029759
USER	Prove Ownership	72	START	1588020030013	1588020030013
REQUEST	72		Prove Owner	1588020030014	1588020030101	OK	 
USER	Prove Ownership	72	END	1588020030013	1588020030101
USER	Prove Ownership	73	START	1588020030353	1588020030353
REQUEST	73		Prove Owner	1588020030354	1588020030425	OK	 
USER	Prove Ownership	73	END	1588020030353	1588020030426
USER	Prove Ownership	74	START	1588020030683	1588020030683
REQUEST	74		Prove Owner	1588020030684	1588020030752	OK	 
USER	Prove Ownership	74	END	1588020030683	1588020030753
USER	Prove Ownership	75	START	1588020031014	1588020031014
REQUEST	75		Prove Owner	1588020031017	1588020031097	OK	 
USER	Prove Ownership	75	END	1588020031014	1588020031097
USER	Prove Ownership	76	START	1588020031354	1588020031354
REQUEST	76		Prove Owner	1588020031355	1588020031413	OK	 
USER	Prove Ownership	76	END	1588020031354	1588020031414
USER	Prove Ownership	77	START	1588020031683	1588020031683
REQUEST	77		Prove Owner	1588020031684	1588020031745	OK	 
USER	Prove Ownership	77	END	1588020031683	1588020031745
USER	Prove Ownership	78	START	1588020032014	1588020032014
REQUEST	78		Prove Owner	1588020032015	1588020032079	OK	 
USER	Prove Ownership	78	END	1588020032014	1588020032080
USER	Prove Ownership	79	START	1588020032354	1588020032354
REQUEST	79		Prove Owner	1588020032355	1588020032418	OK	 
