RUN	computerdatabase.ProveOwner	proveowner	1588029727747	7 per second	3.3.1
USER	Prove Ownership	1	START	1588029729014	1588029729014
USER	Prove Ownership	2	START	1588029729164	1588029729164
USER	Prove Ownership	3	START	1588029729311	1588029729311
USER	Prove Ownership	4	START	1588029729451	1588029729451
USER	Prove Ownership	5	START	1588029729593	1588029729593
USER	Prove Ownership	6	START	1588029729732	1588029729732
REQUEST	1		Prove Owner	1588029729054	1588029729824	OK	 
USER	Prove Ownership	1	END	1588029729014	1588029729853
USER	Prove Ownership	7	START	1588029729881	1588029729881
USER	Prove Ownership	8	START	1588029730021	1588029730021
USER	Prove Ownership	9	START	1588029730161	1588029730161
REQUEST	2		Prove Owner	1588029729164	1588029730282	OK	 
USER	Prove Ownership	2	END	1588029729164	1588029730282
USER	Prove Ownership	10	START	1588029730314	1588029730314
REQUEST	3		Prove Owner	1588029729312	1588029730379	OK	 
USER	Prove Ownership	3	END	1588029729311	1588029730380
USER	Prove Ownership	11	START	1588029730454	1588029730454
USER	Prove Ownership	12	START	1588029730591	1588029730591
USER	Prove Ownership	13	START	1588029730732	1588029730732
USER	Prove Ownership	14	START	1588029730882	1588029730882
REQUEST	4		Prove Owner	1588029729452	1588029730932	OK	 
USER	Prove Ownership	4	END	1588029729451	1588029730933
REQUEST	5		Prove Owner	1588029729593	1588029731015	OK	 
USER	Prove Ownership	5	END	1588029729593	1588029731016
USER	Prove Ownership	15	START	1588029731023	1588029731023
USER	Prove Ownership	16	START	1588029731161	1588029731161
REQUEST	6		Prove Owner	1588029729733	1588029731224	OK	 
USER	Prove Ownership	6	END	1588029729732	1588029731225
REQUEST	7		Prove Owner	1588029729882	1588029731267	OK	 
USER	Prove Ownership	7	END	1588029729881	1588029731268
USER	Prove Ownership	17	START	1588029731301	1588029731301
REQUEST	8		Prove Owner	1588029730022	1588029731348	OK	 
USER	Prove Ownership	8	END	1588029730021	1588029731349
REQUEST	9		Prove Owner	1588029730162	1588029731376	OK	 
USER	Prove Ownership	9	END	1588029730161	1588029731377
USER	Prove Ownership	18	START	1588029731451	1588029731451
REQUEST	10		Prove Owner	1588029730314	1588029731484	OK	 
USER	Prove Ownership	10	END	1588029730314	1588029731485
REQUEST	11		Prove Owner	1588029730455	1588029731511	OK	 
USER	Prove Ownership	11	END	1588029730454	1588029731512
USER	Prove Ownership	19	START	1588029731591	1588029731591
REQUEST	12		Prove Owner	1588029730592	1588029731635	OK	 
USER	Prove Ownership	12	END	1588029730591	1588029731636
REQUEST	13		Prove Owner	1588029730733	1588029731668	OK	 
USER	Prove Ownership	13	END	1588029730732	1588029731669
USER	Prove Ownership	20	START	1588029731731	1588029731731
REQUEST	14		Prove Owner	1588029730883	1588029731762	OK	 
USER	Prove Ownership	14	END	1588029730882	1588029731763
REQUEST	15		Prove Owner	1588029731024	1588029731803	OK	 
USER	Prove Ownership	15	END	1588029731023	1588029731803
REQUEST	16		Prove Owner	1588029731162	1588029731883	OK	 
